round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs
407,6,3,6,0.097297668,0.902702332,6,1,6,1,0.696883678
408,18,21,5,0.09333913,0.906660855,5,0,5,0,0.009340667
409,0,0,0,0.099578895,0.900421083,0,1,0,1,0.999574542
410,3,3,3,0.099145427,0.900854588,3,1,3,1,0.99557513
411,0,1,0,0.099578515,0.9004215,0,1,0,1,0.003317866
412,9,27,9,0.075666055,0.92433393,9,1,9,1,0.259856999
413,5,5,5,0.07364919,0.926350832,5,1,5,1,0.863545954
414,2,2,2,0.071955144,0.928044856,2,1,2,1,0.998509526
415,4,4,4,0.071943596,0.928056419,4,1,4,1,0.989951491
416,6,3,11,0.071633823,0.928366184,11,0,20,0,0.018688941
417,8,14,15,0.076593563,0.923406422,15,0,15,0,0.02870802
418,4,4,4,0.092686601,0.907313406,4,1,4,1,0.995262921
419,14,14,9,0.092402354,0.907597661,9,0,14,1,0.736949921
420,3,3,3,0.093866043,0.90613395,3,1,3,1,0.908917844
421,5,5,5,0.09585347,0.904146552,5,1,5,1,0.976307154
422,26,26,26,0.097223222,0.902776778,26,1,26,1,0.999941349
423,7,7,7,0.097063839,0.902936161,7,1,7,1,0.998541236
424,10,10,10,0.09754882,0.902451158,10,1,10,1,0.999995768
425,7,7,7,0.097564243,0.90243578,7,1,7,1,0.996758103
426,15,15,15,0.097226463,0.902773559,15,1,15,1,0.843169689
427,3,3,13,0.100094721,0.899905264,13,0,3,1,0.247541681
428,14,27,9,0.109650463,0.890349567,9,0,9,0,0.059458844
429,4,4,11,0.093087107,0.906912923,11,0,4,1,0.136062294
430,3,6,3,0.110287584,0.889712393,3,1,3,1,0.501699388
431,21,0,24,0.104223557,0.895776451,24,0,24,0,0.075059764
432,11,11,15,0.108059756,0.891940236,15,0,15,0,0.236413226
433,15,15,15,0.122915633,0.877084374,15,1,15,1,0.99847281
434,26,26,26,0.123290755,0.876709223,26,1,26,1,0.800952911
435,6,6,11,0.129123807,0.870876193,11,0,6,1,0.113968514
436,17,17,17,0.143769979,0.856230021,17,1,17,1,0.870286167
437,26,26,14,0.146554783,0.853445232,14,0,14,0,0.122500531
438,0,0,0,0.161190882,0.838809133,0,1,0,1,0.999839723
439,19,19,19,0.161031753,0.838968217,19,1,19,1,0.996044755
440,2,22,19,0.161628366,0.838371634,2,1,2,1,0.772533298
441,5,5,5,0.162375301,0.837624669,5,1,5,1,0.982894957
442,27,14,27,0.160849974,0.839150012,27,1,27,1,0.215515062
443,14,14,14,0.148660824,0.851339161,14,1,14,1,0.970068514
444,24,24,24,0.146927685,0.853072286,24,1,24,1,0.742153168
445,14,14,14,0.1552995,0.844700515,14,1,14,1,0.965787649
446,0,0,0,0.156687349,0.843312621,0,1,0,1,1
447,6,3,6,0.156686887,0.843313098,6,1,6,1,0.745486856
448,9,9,9,0.152673036,0.847326994,9,1,9,1,0.983305097
449,17,17,27,0.153862238,0.846137762,27,0,17,1,0.315002471
450,13,13,4,0.162361413,0.837638617,13,1,13,1,0.624408662
451,1,1,1,0.170478076,0.829521894,1,1,1,1,0.997684896
452,9,17,9,0.169816196,0.830183804,9,1,17,0,0.242943794
453,4,21,4,0.158166885,0.841833115,4,1,4,1,0.348348647
454,18,2,18,0.147787333,0.852212667,18,1,18,1,0.050468031
455,2,23,2,0.119690649,0.880309343,2,1,2,1,0.569891632
456,15,15,20,0.114299111,0.885700881,20,0,15,1,0.332546234
457,10,10,10,0.12435437,0.875645638,10,1,10,1,0.999996662
458,4,2,4,0.124373585,0.875626445,4,1,4,1,0.053930391
459,12,27,2,0.106165141,0.893834829,2,0,2,0,0.032236166
460,1,7,1,0.108666934,0.891333044,1,1,1,1,0.427824467
461,23,13,23,0.10169214,0.89830786,23,1,23,1,0.198576063
462,17,17,17,0.090929486,0.909070492,17,1,17,1,0.90381825
463,16,16,12,0.08963795,0.910362065,16,1,16,1,0.668736935
464,21,21,21,0.092540421,0.907459557,21,1,21,1,0.997222066
465,17,17,17,0.092313789,0.907686234,17,1,17,1,0.985753775
466,13,13,4,0.092052862,0.907947123,4,0,13,1,0.169437617
467,4,4,4,0.102485828,0.897514164,4,1,4,1,0.955671072
468,7,8,26,0.101990774,0.898009241,26,0,26,0,0.050288968
469,24,24,24,0.100791514,0.899208486,24,1,24,1,0.999615073
470,1,1,1,0.100938432,0.899061561,1,1,1,1,0.899817407
471,19,5,19,0.099046387,0.900953591,19,1,5,0,0.197095379
472,17,8,1,0.088378355,0.91162163,1,0,1,0,0.02231966
473,1,1,1,0.106978461,0.893021524,1,1,1,1,0.775797367
474,5,5,5,0.104311615,0.895688355,5,1,5,1,0.999453187
475,4,4,4,0.104003198,0.895996809,4,1,4,1,0.985691309
476,17,17,27,0.105540268,0.894459724,17,1,17,1,0.613399506
477,3,3,11,0.10692548,0.893074512,3,1,3,1,0.605368257
478,8,8,8,0.112653628,0.887346387,8,1,8,1,0.999995887
479,14,14,14,0.112680443,0.887319565,14,1,14,1,0.973403573
480,25,25,25,0.112984747,0.887015224,25,1,25,1,0.989899457
481,16,16,16,0.113689184,0.886310816,16,1,16,1,0.999999702
482,25,26,22,0.113701567,0.886298418,22,0,22,0,0.266579062
483,0,0,0,0.108816549,0.891183436,0,1,0,1,0.999990523
484,24,26,21,0.10874372,0.891256273,21,0,6,0,0.181388676
485,2,2,22,0.097503342,0.902496636,2,1,2,1,0.65139538
486,4,15,4,0.101707064,0.898292959,4,1,4,1,0.315089434
487,24,24,24,0.099640191,0.900359809,24,1,24,1,0.99945569
488,10,10,10,0.099803723,0.900196254,10,1,10,1,0.911567032
489,4,4,4,0.103725359,0.896274626,4,1,4,1,0.903305292
490,4,4,19,0.101671152,0.898328841,4,1,4,1,0.395567417
491,21,21,21,0.111021407,0.888978601,21,1,21,1,1
492,3,21,6,0.111021176,0.888978839,6,0,3,1,0.035213523
493,21,21,21,0.092146397,0.907853603,21,1,21,1,0.999998569
494,17,17,0,0.092128053,0.907871962,0,0,16,0,0.191223338
495,24,24,24,0.10415227,0.895847738,24,1,24,1,0.875458598
496,3,3,6,0.106839098,0.89316088,3,1,3,1,0.416345745
497,0,0,0,0.115951695,0.884048283,0,1,0,1,0.999999523
498,6,4,6,0.115939945,0.884060025,6,1,6,1,0.014724093
499,26,26,26,0.093587451,0.906412542,26,1,26,1,0.999878168
500,25,2,25,0.093837164,0.906162858,25,1,2,0,0.190835476
501,18,18,18,0.083444931,0.916555047,18,1,18,1,0.906294823
502,2,2,2,0.085768737,0.914231241,2,1,2,1,0.992265403
503,2,18,2,0.085933611,0.914066374,2,1,2,1,0.004636471
504,10,10,10,0.065253556,0.934746444,10,1,10,1,0.823697031
505,1,5,1,0.063493118,0.936506867,1,1,1,1,0.567946017
506,7,7,7,0.060012404,0.9399876,7,1,7,1,0.989782333
507,10,10,10,0.059483752,0.940516233,10,1,10,1,0.988672674
508,11,11,11,0.060087398,0.939912617,11,1,11,1,0.981432796
509,1,2,5,0.059524924,0.940475047,5,0,5,0,0.452619404
510,12,5,12,0.053992186,0.946007788,12,1,12,1,0.459231973
511,22,22,19,0.050376978,0.949623048,19,0,22,1,0.38634181
512,3,6,1,0.055041913,0.944958091,1,0,1,0,0.061159831
513,20,20,11,0.05964734,0.940352678,11,0,20,1,0.645395815
514,26,26,26,0.06216874,0.937831283,26,1,26,1,0.999998212
515,26,26,26,0.062175162,0.937824845,26,1,26,1,0.999999702
516,24,24,24,0.062170006,0.937829971,24,1,24,1,0.802771747
517,3,3,10,0.059896652,0.940103352,10,0,3,1,0.058163006
518,26,26,26,0.072053842,0.92794615,26,1,26,1,0.999997735
519,27,27,27,0.072031192,0.9279688,27,1,27,1,0.919398427
520,24,24,10,0.070748113,0.929251909,10,0,10,0,0.092702672
521,0,0,0,0.079190888,0.92080909,0,1,0,1,0.995621383
522,4,4,4,0.0780323,0.921967685,4,1,4,1,0.999197781
523,17,17,17,0.077736244,0.922263741,17,1,17,1,0.993748248
524,10,10,10,0.078090787,0.921909213,10,1,10,1,0.893862486
525,10,10,10,0.079896592,0.920103431,10,1,10,1,0.864295602
526,22,22,22,0.081882477,0.918117523,22,1,25,0,0.663666129
527,10,10,10,0.082998186,0.917001843,10,1,10,1,0.797872901
528,15,15,16,0.086182185,0.913817823,16,0,15,1,0.243182838
529,4,4,4,0.092915148,0.907084823,4,1,4,1,0.844896495
530,8,8,8,0.095494196,0.904505789,8,1,8,1,0.993665814
531,9,27,14,0.095363572,0.904636443,14,0,14,0,0.090038449
532,12,12,12,0.09209165,0.90790838,12,1,12,1,0.884337068
533,2,2,2,0.089635156,0.910364866,2,1,2,1,0.999546885
534,8,12,14,0.089284211,0.910715759,14,0,14,0,0.018388651
535,2,22,2,0.101659715,0.898340285,2,1,2,1,0.091782376
536,11,11,11,0.090335466,0.909664512,11,1,11,1,0.997536719
537,3,11,6,0.090309143,0.909690857,6,0,3,1,0.080015369
538,15,15,15,0.088289119,0.911710858,15,1,15,1,0.991400421
539,13,4,11,0.089036986,0.910962999,11,0,4,0,0.312360078
540,10,10,10,0.08667808,0.913321912,10,1,10,1,0.990483999
541,16,0,16,0.087477252,0.912522733,16,1,0,0,0.119281173
542,6,6,6,0.076996051,0.923003972,6,1,6,1,0.768863916
543,24,24,24,0.080132484,0.919867516,24,1,24,1,0.998430789
544,3,3,3,0.080292419,0.919707596,3,1,3,1,0.991465569
545,5,10,5,0.080898196,0.919101834,5,1,5,1,0.042698458
546,13,13,13,0.068849623,0.931150377,13,1,13,1,0.995029449
547,19,19,2,0.068528764,0.931471229,2,0,19,1,0.321114153
548,25,25,25,0.073810756,0.926189244,25,1,25,1,0.835475087
549,8,9,8,0.074892402,0.925107598,8,1,8,1,0.355266809
550,4,4,4,0.068234563,0.931765437,4,1,4,1,0.998407006
551,13,4,13,0.068034656,0.931965351,13,1,13,1,0.111591808
552,0,0,0,0.062684931,0.937315047,0,1,0,1,0.998475194
553,12,5,12,0.06238528,0.937614739,12,1,12,1,0.157326177
554,2,0,2,0.055863824,0.944136202,2,1,2,1,0.174098119
555,0,0,0,0.048350863,0.951649129,0,1,0,1,1
556,9,8,5,0.048351351,0.951648653,5,0,5,0,0.102771685
557,17,17,17,0.055877049,0.94412297,17,1,17,1,0.805145979
558,21,21,21,0.053605724,0.946394265,21,1,21,1,0.999832928
559,14,14,14,0.053660695,0.946339309,14,1,14,1,0.973706067
560,16,16,16,0.053964563,0.946035445,16,1,16,1,0.999975026
561,16,16,16,0.053943321,0.946056664,16,1,16,1,0.999983847
562,16,6,16,0.053959996,0.946040034,16,1,16,1,0.231003284
563,0,0,0,0.049069177,0.950930834,0,1,0,1,0.999960601
564,3,6,6,0.049079537,0.950920463,6,0,6,0,0.768863916
565,17,17,17,0.044723954,0.955276072,17,1,17,1,0.999882758
566,12,8,12,0.044715695,0.955284297,12,1,12,1,0.379167676
567,17,7,17,0.041059248,0.958940744,17,1,17,1,0.537830114
568,1,1,1,0.03861377,0.961386204,1,1,1,1,0.921938658
569,14,27,14,0.038563911,0.961436093,14,1,14,1,0.685130179
570,2,2,2,0.03708205,0.962917924,2,1,2,1,0.821309626
571,18,18,18,0.035705514,0.964294493,18,1,18,1,0.820557177
572,2,2,22,0.03556449,0.964435518,22,0,2,1,0.489955425
573,13,13,13,0.037892494,0.96210748,13,1,13,1,0.93938911
574,21,21,21,0.03727214,0.962727845,21,1,21,1,0.999993801
575,11,11,11,0.03728294,0.962717056,11,1,11,1,0.999576032
576,4,4,4,0.037359215,0.962640762,4,1,4,1,0.989703476
577,9,27,27,0.037788458,0.962211549,27,0,9,1,0.929004669
578,8,8,8,0.036533393,0.963466585,8,1,8,1,0.903446674
579,25,18,25,0.037424929,0.962575078,25,1,25,1,0.085355237
580,3,3,20,0.033119362,0.96688062,20,0,3,1,0.421745509
581,7,27,7,0.034774378,0.965225637,7,1,7,1,0.535905361
582,5,5,1,0.033188757,0.96681124,1,0,1,0,0.014487034
583,6,6,6,0.039523799,0.96047622,6,1,6,1,0.868710995
584,20,20,11,0.039252456,0.96074754,11,0,11,0,0.236409262
585,6,6,21,0.043067589,0.956932425,21,0,21,0,0.254446059
586,18,18,23,0.052047998,0.947951972,23,0,23,0,0.023396475
587,4,4,4,0.066601425,0.933398604,4,1,4,1,0.988150835
588,4,4,13,0.065797508,0.934202492,13,0,4,1,0.505899668
589,14,27,14,0.071026266,0.928973734,14,1,14,1,0.516187847
590,21,21,21,0.067588925,0.932411075,21,1,21,1,0.999997497
591,16,16,6,0.067571498,0.932428479,6,0,16,1,0.252873182
592,26,26,26,0.074614339,0.925385654,26,1,26,1,0.999991953
593,6,6,6,0.074573435,0.925426543,6,1,6,1,0.776768982
594,12,12,12,0.076737724,0.923262298,12,1,12,1,0.997970879
595,1,12,1,0.07633625,0.923663735,1,1,1,1,0.171357036
596,2,2,25,0.068244047,0.93175596,25,0,2,1,0.193962276
597,25,25,25,0.070796393,0.929203629,25,1,25,1,0.969004869
598,3,3,6,0.070938788,0.929061234,6,0,3,1,0.295147866
599,16,16,11,0.077434145,0.922565877,16,1,16,1,0.547105849
600,13,13,13,0.082919329,0.917080641,13,1,13,1,0.991126299
601,24,24,24,0.082603686,0.917396307,24,1,24,1,0.998304546
602,16,16,16,0.082982786,0.917017221,16,1,16,1,0.997831583
603,18,2,22,0.082804047,0.917195976,22,0,2,0,0.006739619
604,3,3,6,0.0685772,0.93142277,6,0,3,1,0.570242465
605,0,0,0,0.073527843,0.926472187,0,1,0,1,0.999886096
606,1,6,1,0.073447451,0.926552534,1,1,1,1,0.224574715
607,8,8,8,0.065322571,0.934677422,8,1,8,1,0.997462153
608,16,0,16,0.064850174,0.935149848,16,1,16,1,0.028292771
609,18,18,25,0.054000471,0.945999503,25,0,2,0,0.079920746
610,3,3,3,0.062529683,0.937470317,3,1,3,1,0.691367686
611,11,11,11,0.065447919,0.934552073,11,1,11,1,0.930969596
612,17,17,17,0.066874921,0.933125079,17,1,17,1,0.998909831
613,10,10,10,0.066937104,0.933062911,10,1,10,1,0.99984026
614,5,7,5,0.066859446,0.933140576,5,1,5,1,0.57466799
615,4,6,4,0.063535661,0.93646431,4,1,4,1,0.505842745
616,9,5,27,0.059293557,0.940706432,27,0,9,1,0.00943914
617,5,1,18,0.052166004,0.947834015,18,0,1,0,0.167127848
618,4,11,11,0.055686019,0.944314003,11,0,11,0,0.866156936
619,15,15,15,0.055237308,0.944762707,15,1,15,1,0.996393204
620,14,27,14,0.055632163,0.944367826,14,1,14,1,0.550581753
621,5,7,5,0.052649837,0.947350144,5,1,5,1,0.025957279
622,17,7,9,0.043678433,0.956321597,9,0,9,0,0.219512463
623,16,9,16,0.042385031,0.957614958,16,1,16,1,0.539692819
624,10,10,10,0.040084939,0.959915042,10,1,10,1,0.999990106
625,21,21,6,0.040075678,0.95992434,6,0,21,1,0.339434296
626,23,4,23,0.043452948,0.956547081,23,1,23,1,0.054786775
627,2,25,2,0.034836497,0.965163529,2,1,2,1,0.040434435
628,16,16,16,0.026437694,0.9735623,16,1,16,1,0.999966502
629,5,5,5,0.026460633,0.973539352,5,1,5,1,0.9872967
630,13,13,20,0.02588799,0.974112034,20,0,13,1,0.854500294
631,1,12,1,0.026222724,0.973777294,1,1,1,1,0.232221946
632,2,2,2,0.023721984,0.976278007,2,1,2,1,0.931337118
633,0,0,0,0.024335172,0.975664854,0,1,0,1,0.999956906
634,8,12,8,0.024310572,0.975689411,8,1,8,1,0.071872577
635,3,3,3,0.020909227,0.97909075,3,1,3,1,0.957975268
636,5,1,5,0.021210369,0.978789628,5,1,5,1,0.709080815
637,21,21,21,0.020500047,0.979499936,21,1,21,1,0.999522984
638,10,10,24,0.02045715,0.979542851,24,0,24,0,0.11828474
639,23,23,23,0.022856614,0.977143407,23,1,23,1,0.918705404
640,19,19,5,0.022786854,0.977213144,5,0,5,0,0.416523367
641,5,5,5,0.023939235,0.976060748,5,1,5,1,0.991273761
642,4,4,4,0.023870863,0.976129115,4,1,4,1,0.996981263
643,3,6,3,0.023987016,0.976013005,6,0,3,1,0.926762164
644,26,17,26,0.023522632,0.976477385,26,1,26,1,0.110685579
645,2,2,2,0.02031371,0.97968632,2,1,2,1,0.998205602
646,1,1,1,0.02019331,0.979806662,1,1,1,1,0.983342171
647,7,7,7,0.020670529,0.979329467,7,1,7,1,0.998416305
648,8,8,8,0.020559346,0.979440629,8,1,8,1,0.930810571
649,18,11,18,0.020026503,0.979973495,18,1,18,1,0.040513396
650,11,11,15,0.016676569,0.983323455,15,0,13,0,0.147144169
651,9,9,9,0.018985914,0.981014073,9,1,9,1,0.921503961
652,6,18,6,0.018637095,0.981362879,6,1,6,1,0.202031866
653,16,16,16,0.016872158,0.983127832,16,1,16,1,0.991059124
654,20,20,11,0.016986016,0.983013988,11,0,11,0,0.069249965
655,9,17,9,0.019601395,0.980398595,9,1,9,1,0.385755211
656,25,25,25,0.018868148,0.981131852,25,1,25,1,0.980147541
657,5,17,5,0.018908732,0.981091261,5,1,5,1,0.039631557
658,27,14,14,0.015507871,0.984492123,14,0,14,0,0.970875502
659,5,5,5,0.016596075,0.983403921,5,1,5,1,0.842045724
660,4,4,4,0.01602179,0.983978212,4,1,4,1,0.99794203
661,10,10,10,0.015939001,0.984061003,10,1,10,1,0.987362623
662,0,0,0,0.016218325,0.983781695,0,1,0,1,0.999934018
663,10,10,10,0.016200995,0.983798981,10,1,10,1,0.999998808
664,1,1,1,0.016200637,0.983799338,1,1,1,1,0.877810597
665,10,10,10,0.015751738,0.984248281,10,1,10,1,0.999998629
666,11,11,11,0.015752852,0.984247148,11,1,4,0,0.812599242
667,8,14,16,0.015610538,0.984389484,16,0,16,0,0.089766368
668,25,25,25,0.01617985,0.98382014,25,1,25,1,0.999839425
669,24,24,24,0.016140826,0.983859181,24,1,24,1,0.999510705
670,9,7,14,0.016166078,0.983833909,14,0,14,0,0.042958513
671,17,17,17,0.014735428,0.985264599,17,1,17,1,0.786367357
672,24,24,24,0.0144278,0.985572219,24,1,24,1,0.958580434
673,6,3,13,0.014912885,0.985087097,13,0,3,0,0.549034417
674,16,16,16,0.014911897,0.98508811,16,1,16,1,0.999828398
675,14,14,14,0.01492696,0.98507303,14,1,14,1,0.983451188
676,11,11,11,0.014745708,0.985254288,11,1,11,1,0.939833999
677,26,26,26,0.014990767,0.985009253,26,1,26,1,0.999997318
678,0,0,0,0.014986923,0.985013068,0,1,0,1,0.999875784
679,18,18,25,0.014964592,0.985035419,25,0,18,1,0.770009875
680,3,3,3,0.015340374,0.984659612,3,1,3,1,0.726096511
681,8,5,8,0.016078487,0.983921528,8,1,8,1,0.2404259
682,13,15,13,0.014705461,0.985294521,13,1,13,1,0.006569955
683,0,0,0,0.010665882,0.989334106,0,1,0,1,0.996796429
684,6,6,6,0.010587945,0.989412069,6,1,6,1,0.991523683
685,9,9,14,0.010558263,0.989441752,14,0,9,1,0.520322323
686,8,9,8,0.010730388,0.989269614,8,1,8,1,0.036213886
687,2,2,2,0.008897694,0.991102278,2,1,2,1,0.984168947
688,24,24,24,0.00902187,0.990978122,24,1,24,1,0.955868781
689,24,24,24,0.009178711,0.990821302,24,1,24,1,0.988626003
690,19,9,19,0.009334565,0.990665436,19,1,19,1,0.363348603
691,4,4,11,0.008789607,0.991210401,11,0,4,1,0.41364634
692,6,6,6,0.009728442,0.990271568,6,1,6,1,0.942121804
693,0,0,0,0.009966363,0.990033627,0,1,0,1,1
694,5,5,5,0.009966022,0.990033984,5,1,5,1,0.986404121
695,12,6,12,0.009850786,0.9901492,12,1,12,1,0.019868111
696,24,24,10,0.007936634,0.992063344,10,0,24,1,0.224008366
697,26,26,26,0.00866865,0.991331339,26,1,26,1,0.999999762
698,14,27,14,0.008669062,0.991330922,14,1,14,1,0.17232585
699,7,7,7,0.007859319,0.992140651,7,1,7,1,0.99937886
700,18,2,18,0.007833969,0.992166042,18,1,18,1,0.097315378
701,14,27,14,0.006614523,0.993385494,14,1,14,1,0.722180307
702,26,26,26,0.006385872,0.993614137,26,1,26,1,0.976092756
703,13,13,13,0.00647921,0.993520796,13,1,13,1,0.969515622
704,14,14,14,0.006604266,0.993395746,14,1,14,1,0.74960351
705,6,1,6,0.006359773,0.993640244,6,1,6,1,0.012609718
706,9,9,9,0.004930518,0.995069504,9,1,9,1,0.999802589
707,23,23,23,0.004926584,0.995073438,23,1,23,1,0.957598686
708,10,10,18,0.005046843,0.994953156,18,0,10,1,0.636436939
709,13,13,13,0.005349804,0.994650185,13,1,13,1,0.584852874
710,15,3,15,0.005764375,0.994235635,15,1,15,1,0.077281021
711,10,21,10,0.004971881,0.995028138,10,1,10,1,0.045051325
712,16,16,25,0.004226779,0.995773196,25,0,16,1,0.431524009
713,23,23,15,0.00451656,0.995483458,15,0,23,1,0.186052725
714,14,12,14,0.005072623,0.994927347,14,1,14,1,0.002309531
715,6,6,3,0.003305734,0.996694267,3,0,6,1,0.585112333
716,15,15,11,0.003303073,0.996696949,11,0,15,1,0.373945951
717,5,8,5,0.003592697,0.99640733,5,1,5,1,0.355204135
718,2,2,2,0.003344684,0.996655345,2,1,2,1,0.905814409
719,17,17,17,0.00327854,0.996721447,17,1,17,1,0.999367058
720,24,24,24,0.003283991,0.996716022,24,1,24,1,0.968235612
721,20,20,11,0.00335308,0.996646941,11,0,11,0,0.078247078
722,19,19,19,0.00428253,0.995717466,19,1,19,1,0.997237682
723,19,19,19,0.004311959,0.995688021,19,1,19,1,0.980026305
724,9,27,27,0.004366716,0.995633304,27,0,27,0,0.961152256
725,2,2,2,0.003749026,0.996250987,2,1,2,1,0.994356275
726,16,16,16,0.003778592,0.996221423,16,1,16,1,0.999777794
727,26,9,26,0.003782962,0.996217012,26,1,26,1,0.253780574
728,0,0,0,0.003399878,0.996600151,0,1,0,1,0.999999762
729,2,2,2,0.003399999,0.996599972,2,1,2,1,0.841918468
730,8,5,8,0.003271478,0.996728539,8,1,8,1,0.55840975
731,10,10,24,0.003122743,0.996877253,24,0,24,0,0.141055271
732,3,15,6,0.003484999,0.996514976,6,0,6,0,0.036408447
733,7,7,7,0.003208305,0.99679172,7,1,7,1,0.999975979
734,0,0,0,0.003207286,0.996792734,0,1,0,1,0.999991894
735,16,16,16,0.0032064,0.996793628,16,1,16,1,0.999938607
736,10,10,10,0.003204155,0.996795833,10,1,10,1,0.999797046
737,15,15,15,0.003210285,0.996789694,15,1,15,1,0.999983966
738,21,21,13,0.003210825,0.996789157,13,0,13,0,0.474173605
739,4,4,4,0.003366205,0.996633768,4,1,4,1,0.661254466
740,9,14,16,0.003597165,0.99640286,16,0,16,0,0.033999883
741,9,27,14,0.003410807,0.996589184,14,0,14,0,0.202970088
742,8,12,8,0.003357934,0.996642053,8,1,8,1,0.208414108
743,10,10,10,0.002995863,0.997004151,10,1,10,1,0.753100336
744,26,26,26,0.003159865,0.996840119,26,1,26,1,0.999989331
745,7,7,7,0.003161556,0.99683845,7,1,7,1,0.999502897
746,5,1,5,0.003163279,0.996836722,5,1,5,1,0.054999664
747,2,2,2,0.002727013,0.997272968,2,1,2,1,0.997736335
748,13,13,4,0.002707905,0.997292101,4,0,13,1,0.355410546
749,23,23,23,0.002964323,0.997035682,23,1,23,1,0.989798307
750,19,19,26,0.002989553,0.997010469,26,0,20,0,0.327486753
751,24,10,24,0.003267247,0.996732771,24,1,24,1,0.148779497
752,7,9,7,0.002823181,0.997176826,7,1,7,1,0.006771775
753,14,27,14,0.00209897,0.997901022,14,1,14,1,0.676973939
754,14,27,14,0.002010881,0.997989118,14,1,14,1,0.374522984
755,11,11,20,0.001874391,0.998125613,20,0,11,1,0.25649178
756,27,17,9,0.002051459,0.997948527,9,0,9,0,0.242943794
757,21,21,21,0.002081742,0.997918248,21,1,21,1,0.994824648
758,24,24,10,0.002085586,0.997914433,10,0,24,1,0.53021276
759,10,10,10,0.002212394,0.997787595,10,1,10,1,0.999559343
760,23,23,23,0.002216353,0.997783661,23,1,23,1,0.792503595
761,16,16,16,0.002166106,0.997833908,16,1,16,1,0.972106874
762,17,17,17,0.002176993,0.997823,17,1,17,1,0.889494479
763,10,10,10,0.002222106,0.997777879,10,1,10,1,0.998607755
764,12,12,12,0.002228063,0.997771919,12,1,12,1,0.894721925
765,25,25,2,0.0021446,0.997855425,2,0,2,0,0.048252638
766,9,14,9,0.002551761,0.997448266,9,1,9,1,0.074785657
767,1,26,1,0.001996694,0.998003304,1,1,1,1,0.529200971
768,7,7,7,0.001873361,0.998126626,7,1,7,1,0.962840855
769,1,1,1,0.001846742,0.998153269,1,1,1,1,0.959346175
770,2,2,19,0.001892446,0.998107553,19,0,18,0,0.31142211
771,13,21,11,0.002127687,0.997872293,11,0,11,0,0.133998275
772,0,0,0,0.001715532,0.998284459,0,1,0,1,0.999999762
773,10,10,10,0.001715417,0.998284578,10,1,10,1,0.999987602
774,12,8,16,0.001715919,0.998284101,16,0,16,0,0.160465091
775,4,1,12,0.001819478,0.998180509,12,0,4,1,0.280320883
776,6,3,6,0.001916585,0.998083413,6,1,6,1,0.266401649
777,24,24,24,0.001766724,0.998233259,24,1,24,1,0.864732683
778,16,16,25,0.00181122,0.998188794,25,0,16,1,0.10048943
779,27,17,27,0.00204618,0.997953832,27,1,27,1,0.270489067
780,12,12,12,0.00185485,0.998145163,12,1,12,1,0.997973144
781,19,5,5,0.001843134,0.998156846,5,0,5,0,0.98815608
782,10,10,10,0.00179762,0.998202384,10,1,10,1,0.996184826
783,21,21,21,0.001810798,0.998189211,21,1,21,1,0.999987781
784,25,25,25,0.001810215,0.998189807,25,1,25,1,0.99950397
785,6,5,24,0.001814331,0.998185694,24,0,24,0,0.010925421
786,5,7,5,0.002072118,0.997927904,5,1,5,1,0.127312005
787,10,10,10,0.001843859,0.99815613,10,1,10,1,0.999123633
788,16,16,10,0.001854223,0.998145759,10,0,10,0,0.161916092
789,15,15,15,0.002051681,0.997948349,15,1,15,1,0.794397831
790,15,15,15,0.002131295,0.997868717,15,1,15,1,0.999343991
791,16,16,16,0.002138368,0.997861624,16,1,16,1,0.993658781
792,2,2,2,0.002149318,0.997850657,2,1,2,1,0.981447875
793,11,15,4,0.002184318,0.997815669,4,0,4,0,0.007635412
794,13,13,13,0.002120298,0.997879684,13,1,13,1,0.939948916
795,3,6,6,0.002082591,0.997917414,6,0,6,0,0.929103732
796,2,19,2,0.00213007,0.997869909,2,1,2,1,0.074275516
797,16,16,10,0.001799653,0.998200357,10,0,10,0,0.122988716
798,3,3,3,0.002009199,0.997990787,3,1,3,1,0.949234605
799,8,5,8,0.002043033,0.997956991,8,1,8,1,0.457850337
800,12,12,12,0.001853473,0.998146534,12,1,12,1,0.999272466
801,7,0,12,0.001849056,0.998150945,12,0,12,0,0.024687916
802,11,4,22,0.001649735,0.998350263,22,0,4,0,0.247523755
803,21,21,21,0.001393124,0.998606861,21,1,21,1,0.998596966
804,10,10,10,0.001393678,0.998606324,10,1,10,1,0.994129002
805,24,24,24,0.001387499,0.998612523,24,1,24,1,0.990174174
806,25,25,25,0.001413959,0.998586059,25,1,25,1,0.95836097
807,12,8,12,0.001425652,0.998574376,12,1,12,1,0.136560246
808,14,14,14,0.001229936,0.998770058,14,1,14,1,0.999805033
809,1,6,1,0.001231034,0.998768985,1,1,1,1,0.367667317
810,3,3,3,0.001118365,0.998881638,3,1,3,1,0.908413649
811,6,5,6,0.001152623,0.998847365,6,1,6,1,0.120177031
812,12,14,12,0.001057919,0.998942077,12,1,12,1,0.02416819
813,8,8,8,0.001003627,0.998996377,8,1,8,1,0.999989033
814,27,9,9,0.001003319,0.998996675,9,0,9,0,0.797406971
815,27,14,27,0.00105876,0.998941243,27,1,27,1,0.383550763
816,6,6,6,0.00100027,0.998999715,6,1,6,1,0.99951905
