round,ground_truth,correct_percentage,loss,softmax_output,hedge_weights
325,12,4.91%,4.1630,"[0.043300092220306396, 0.049767740070819855, 0.08145784586668015, 0.04512559622526169, 0.02213681861758232, 0.04971615970134735, 0.0782412439584732, 0.041287798434495926, 0.05591405928134918, 0.034717582166194916, 0.043195877224206924, 0.015526176430284977, 0.015247817151248455, 0.02724056877195835, 0.03493303060531616, 0.05459299311041832, 0.009487117640674114, 0.024759044870734215, 0.01212532352656126, 0.01465662382543087, 0.022880852222442627, 0.0908396914601326, 0.023340707644820213, 0.010203494690358639, 0.0411665178835392, 0.016788965091109276, 0.017102427780628204, 0.0242477860301733]","[0.0010000000474974513, 0.004496890585869551, 0.9338482618331909, 0.05900935083627701, 0.0010000000474974513, 0.0010334361577406526]"
326,17,4.89%,3.5918,"[0.0419808030128479, 0.0516720674932003, 0.08179546147584915, 0.04521539434790611, 0.022393209859728813, 0.04935530200600624, 0.0768006220459938, 0.04068121686577797, 0.05741521343588829, 0.0351504310965538, 0.04366142675280571, 0.015401615761220455, 0.01577017642557621, 0.027908477932214737, 0.03390849754214287, 0.0535733588039875, 0.009087040089070797, 0.024959690868854523, 0.012436933815479279, 0.014710985124111176, 0.022809840738773346, 0.08971928060054779, 0.02449970878660679, 0.01036655344069004, 0.04087337478995323, 0.01634744182229042, 0.01650565303862095, 0.025000160560011864]","[0.0010000000474974513, 0.004142548888921738, 0.9438653588294983, 0.0010000000474974513, 0.04898024722933769, 0.0010897961910814047]"
327,27,4.88%,3.5769,"[0.035703033208847046, 0.0514678955078125, 0.08359275758266449, 0.04560381919145584, 0.026088548824191093, 0.04572578892111778, 0.060542598366737366, 0.04220226779580116, 0.07039644569158554, 0.03802371770143509, 0.0505334697663784, 0.014704142697155476, 0.017040476202964783, 0.03536402806639671, 0.033564187586307526, 0.04503528028726578, 0.008640613406896591, 0.029210245236754417, 0.012036306783556938, 0.01880830153822899, 0.018634628504514694, 0.07545251399278641, 0.026172516867518425, 0.011080476455390453, 0.04166505113244057, 0.014085525646805763, 0.015586841851472855, 0.033038534224033356]","[0.951916515827179, 0.0010283134179189801, 0.0031067980453372, 0.0010000000474974513, 0.0010000000474974513, 0.042482443153858185]"
328,27,4.86%,3.4690,"[0.03313073515892029, 0.05072672292590141, 0.0822998434305191, 0.04741586372256279, 0.028300438076257706, 0.04309139773249626, 0.05470133200287819, 0.042774613946676254, 0.07430747896432877, 0.04105943441390991, 0.05214077979326248, 0.01423103641718626, 0.017214661464095116, 0.04005499184131622, 0.03311115875840187, 0.04211533069610596, 0.00857546180486679, 0.03058345802128315, 0.012234811671078205, 0.020930996164679527, 0.016054626554250717, 0.06938520818948746, 0.027422912418842316, 0.011433995328843594, 0.041533272713422775, 0.01302676647901535, 0.015234221704304218, 0.036908432841300964]","[0.0010000000474974513, 0.0025274234358221292, 0.9620753526687622, 0.0010000000474974513, 0.0010000000474974513, 0.033185720443725586]"
329,19,4.85%,3.8820,"[0.03438789024949074, 0.049801647663116455, 0.08100766688585281, 0.04762012138962746, 0.028142733499407768, 0.043675824999809265, 0.05596885085105896, 0.043062396347522736, 0.07253335416316986, 0.04006093740463257, 0.05144408717751503, 0.014467306435108185, 0.01746603287756443, 0.03915147855877876, 0.03333989158272743, 0.04355281591415405, 0.009100168012082577, 0.03041471168398857, 0.012136470526456833, 0.020451925694942474, 0.016185956075787544, 0.07069876790046692, 0.026742197573184967, 0.011283108964562416, 0.0421244353055954, 0.01325930468738079, 0.015810662880539894, 0.03610927611589432]","[0.0019663209095597267, 0.0010000000474974513, 0.9710987210273743, 0.024888288229703903, 0.0010000000474974513, 0.0010000000474974513]"
330,26,4.83%,4.0591,"[0.03872198611497879, 0.051395073533058167, 0.0816614106297493, 0.044214870780706406, 0.02416304312646389, 0.051240697503089905, 0.06735540926456451, 0.04086953029036522, 0.06275420635938644, 0.032964251935482025, 0.049495160579681396, 0.014924770221114159, 0.01757480576634407, 0.030815044417977333, 0.03286184370517731, 0.050865668803453445, 0.009357009083032608, 0.03000997006893158, 0.011294861324131489, 0.016298608854413033, 0.021615182980895042, 0.08346815407276154, 0.02403784543275833, 0.010171281173825264, 0.041262563318014145, 0.014238880947232246, 0.016477219760417938, 0.029890649020671844]","[0.9615709185600281, 0.0025822799652814865, 0.0010000000474974513, 0.001017774804495275, 0.03267046809196472, 0.0013504974776878953]"
331,4,4.82%,3.4053,"[0.043316397815942764, 0.049047041684389114, 0.07710935175418854, 0.04206082597374916, 0.021578673273324966, 0.0535934641957283, 0.07899618148803711, 0.039384905248880386, 0.053560107946395874, 0.030135704204440117, 0.04492289200425148, 0.015616076067090034, 0.01700817234814167, 0.025271929800510406, 0.03399831801652908, 0.06008351221680641, 0.010147794149816036, 0.02710692211985588, 0.010972968302667141, 0.014050791971385479, 0.02494041807949543, 0.09700752049684525, 0.021853359416127205, 0.009674455970525742, 0.04024778679013252, 0.01646479219198227, 0.01830347441136837, 0.023546291515231133]","[0.001176565419882536, 0.0031252580229192972, 0.9578402638435364, 0.0018538777949288487, 0.03510738164186478, 0.0010000000474974513]"
332,21,5.11%,2.6300,"[0.04142582416534424, 0.04853768274188042, 0.07995717227458954, 0.04286767542362213, 0.023348188027739525, 0.055171068757772446, 0.06801830232143402, 0.0408412329852581, 0.05859432369470596, 0.031097227707505226, 0.04979842156171799, 0.015150432474911213, 0.01748131401836872, 0.02828546054661274, 0.03340330347418785, 0.053389064967632294, 0.009971852414309978, 0.0303864236921072, 0.010920356959104538, 0.0157014112919569, 0.022785669192671776, 0.08804620057344437, 0.022422121837735176, 0.00975306611508131, 0.041634391993284225, 0.014944974333047867, 0.017960306257009506, 0.028106575831770897]","[0.0021396568045020103, 0.004552588798105717, 0.9411605596542358, 0.00202737539075315, 0.0010783245088532567, 0.04904143512248993]"
333,1,5.09%,3.0295,"[0.03387880697846413, 0.04634932801127434, 0.07888586819171906, 0.04648109897971153, 0.02943616546690464, 0.04552964121103287, 0.05281231179833412, 0.04346832260489464, 0.07256778329610825, 0.038917504251003265, 0.054955899715423584, 0.014203493483364582, 0.0181333739310503, 0.0402689054608345, 0.032993774861097336, 0.04305362328886986, 0.009571701288223267, 0.03300168365240097, 0.01141340285539627, 0.02218291535973549, 0.015382648445665836, 0.06904491782188416, 0.02577725052833557, 0.011242746375501156, 0.04145611822605133, 0.012792566791176796, 0.016667084768414497, 0.03953111171722412]","[0.9375755190849304, 0.0013420857721939683, 0.0035166942980140448, 0.0012227963889017701, 0.0010000000474974513, 0.05538047477602959]"
334,27,5.07%,2.6365,"[0.03903082385659218, 0.04996303841471672, 0.0748341977596283, 0.04369006305932999, 0.024759406223893166, 0.051533445715904236, 0.07025829702615738, 0.03927120566368103, 0.05858008936047554, 0.030189204961061478, 0.0503247044980526, 0.01410562451928854, 0.01824551820755005, 0.029269808903336525, 0.03360863775014877, 0.05661730468273163, 0.009471436962485313, 0.03159568831324577, 0.010463837534189224, 0.016220280900597572, 0.02230553701519966, 0.09269275516271591, 0.0222929734736681, 0.009866318665444851, 0.04043690115213394, 0.014176527038216591, 0.01779068075120449, 0.028405720368027687]","[0.9375396370887756, 0.0037782173603773117, 0.0016687221359461546, 0.0010000000474974513, 0.05523179844021797, 0.0010000000474974513]"
335,10,5.06%,2.8326,"[0.02674800716340542, 0.046425800770521164, 0.07549626380205154, 0.04861922562122345, 0.03485378250479698, 0.038536421954631805, 0.04272422567009926, 0.04315923899412155, 0.08169665932655334, 0.04277420789003372, 0.059083472937345505, 0.012622974812984467, 0.01837056688964367, 0.051983706653118134, 0.031503524631261826, 0.03714916855096817, 0.008719313889741898, 0.03674618527293205, 0.011089147999882698, 0.027894554659724236, 0.0115316491574049, 0.057825617492198944, 0.02767626941204071, 0.011690640822052956, 0.03936217352747917, 0.01026577316224575, 0.015062961727380753, 0.05038846656680107]","[0.001285628997720778, 0.9494166374206543, 0.005367930978536606, 0.04268783703446388, 0.0010000000474974513, 0.0010000000474974513]"
336,27,5.04%,3.1878,"[0.037706851959228516, 0.04955663904547691, 0.07604388892650604, 0.04302715137600899, 0.025841861963272095, 0.05229244381189346, 0.06561733037233353, 0.040259189903736115, 0.06147465854883194, 0.029965851455926895, 0.053231753408908844, 0.01402890682220459, 0.01900322362780571, 0.031076448038220406, 0.03283967077732086, 0.05312773957848549, 0.009624567814171314, 0.03386370837688446, 0.010077273473143578, 0.017205288633704185, 0.021409349516034126, 0.0873408392071724, 0.022133564576506615, 0.00992430467158556, 0.040190596133470535, 0.013277790509164333, 0.017711495980620384, 0.03214766085147858]","[0.9657078385353088, 0.004076526500284672, 0.0010000000474974513, 0.02825477160513401, 0.0010000000474974513, 0.0010000000474974513]"
337,10,5.03%,2.8827,"[0.03562023863196373, 0.0512898787856102, 0.07501772046089172, 0.043454643338918686, 0.026686975732445717, 0.05222508683800697, 0.06275500357151031, 0.039534587413072586, 0.06242884695529938, 0.028915859758853912, 0.05574638769030571, 0.013542551547288895, 0.019225718453526497, 0.03218924254179001, 0.032214466482400894, 0.05289076268672943, 0.009424199350178242, 0.03590606525540352, 0.010013880208134651, 0.01769583486020565, 0.021090812981128693, 0.08587859570980072, 0.022463472560048103, 0.0096669252961874, 0.040439341217279434, 0.012461485341191292, 0.017445866018533707, 0.03377559781074524]","[0.005371173843741417, 0.0010000000474974513, 0.9700055122375488, 0.0010000000474974513, 0.0010000000474974513, 0.02245589718222618]"
338,4,5.01%,3.5588,"[0.03384985402226448, 0.049150630831718445, 0.07677014172077179, 0.042471662163734436, 0.028029004111886024, 0.052232127636671066, 0.05914527177810669, 0.04143334925174713, 0.06572648882865906, 0.02980535477399826, 0.05984966829419136, 0.013245259411633015, 0.019556112587451935, 0.034801822155714035, 0.03167014941573143, 0.048501744866371155, 0.00948355533182621, 0.037696365267038345, 0.009702721610665321, 0.019341586157679558, 0.019600046798586845, 0.07830877602100372, 0.022653335705399513, 0.009979989379644394, 0.038961488753557205, 0.011904565617442131, 0.01699751801788807, 0.03913136571645737]","[0.9645455479621887, 0.0010861775372177362, 0.006160520948469639, 0.001467590918764472, 0.0010000000474974513, 0.025798305869102478]"
339,3,5.00%,3.1125,"[0.03531680628657341, 0.04944843426346779, 0.07377983629703522, 0.042685311287641525, 0.027394087985157967, 0.05396714806556702, 0.062439676374197006, 0.03995381295681, 0.06032666191458702, 0.027073269709944725, 0.05974464491009712, 0.012839624658226967, 0.019548052921891212, 0.031976159662008286, 0.03190705552697182, 0.053814709186553955, 0.009490192867815495, 0.03867204487323761, 0.009202660992741585, 0.01762707158923149, 0.02129734866321087, 0.08697347342967987, 0.02112293243408203, 0.009352611377835274, 0.039091601967811584, 0.0117106381803751, 0.017743654549121857, 0.03550053760409355]","[0.0010000000474974513, 0.006899622268974781, 0.9636658430099487, 0.0010000000474974513, 0.02650333382189274, 0.0013551756273955107]"
340,26,4.99%,4.0895,"[0.02912687510251999, 0.04780374839901924, 0.07365249842405319, 0.04508794844150543, 0.03292974829673767, 0.0474233441054821, 0.04883627966046333, 0.040784504264593124, 0.07085517048835754, 0.031125202775001526, 0.06688646227121353, 0.012179184705018997, 0.01984841749072075, 0.041939038783311844, 0.03090091608464718, 0.044665418565273285, 0.009130474179983139, 0.04232589900493622, 0.009449991397559643, 0.023496586829423904, 0.015812549740076065, 0.0691489577293396, 0.02387327142059803, 0.010225227102637291, 0.03869140148162842, 0.0101094925776124, 0.016426362097263336, 0.047265082597732544]","[0.0010000000474974513, 0.9582726359367371, 0.0067579420283436775, 0.0016544726677238941, 0.031527161598205566, 0.0010000000474974513]"
341,17,4.97%,3.2472,"[0.028017448261380196, 0.046207960695028305, 0.07261072844266891, 0.044358786195516586, 0.034274596720933914, 0.04755550995469093, 0.0465397946536541, 0.04084596410393715, 0.07202138751745224, 0.030516913160681725, 0.07027918100357056, 0.012134892866015434, 0.02033587545156479, 0.04330962896347046, 0.030304642394185066, 0.04364604130387306, 0.009393807500600815, 0.04402428865432739, 0.009220096282660961, 0.02475445531308651, 0.01522540021687746, 0.06522922217845917, 0.024057729169726372, 0.01033826544880867, 0.038014814257621765, 0.00982747320085764, 0.016730722039937973, 0.050224415957927704]","[0.9647431373596191, 0.00496642105281353, 0.0010000000474974513, 0.0018300596857443452, 0.026566846296191216, 0.0010000000474974513]"
342,4,4.96%,3.2704,"[0.0339055210351944, 0.04755626618862152, 0.07031060755252838, 0.04547138139605522, 0.03028733842074871, 0.0550580732524395, 0.0570945180952549, 0.03910812363028526, 0.0576038584113121, 0.025662971660494804, 0.0657021701335907, 0.011980848386883736, 0.019626960158348083, 0.03365277498960495, 0.03104342520236969, 0.05522608384490013, 0.009758170694112778, 0.043475955724716187, 0.008833521045744419, 0.018469205126166344, 0.019589437171816826, 0.08496885001659393, 0.020972421392798424, 0.008857669308781624, 0.03903145715594292, 0.010384692810475826, 0.018671980127692223, 0.03769572079181671]","[0.960693359375, 0.004974661394953728, 0.0013968481216579676, 0.002590322867035866, 0.0294363833963871, 0.0010000000474974513]"
343,10,4.94%,2.7028,"[0.033569857478141785, 0.04744471609592438, 0.06795618683099747, 0.04559898376464844, 0.03051515854895115, 0.056409455835819244, 0.06116466596722603, 0.037851087749004364, 0.0545564740896225, 0.0236265379935503, 0.06720556318759918, 0.011419103480875492, 0.01968887448310852, 0.032509416341781616, 0.03024872951209545, 0.058956343680620193, 0.009706137701869011, 0.04457220062613487, 0.00844672042876482, 0.01780279353260994, 0.02029365301132202, 0.08783388137817383, 0.020558463409543037, 0.008576489053666592, 0.037698257714509964, 0.010051991790533066, 0.018643377348780632, 0.03709493950009346]","[0.0010497691109776497, 0.9714438319206238, 0.004228352569043636, 0.021206123754382133, 0.0010000000474974513, 0.0014858481008559465]"
344,15,4.93%,2.9016,"[0.019543398171663284, 0.03897779434919357, 0.06421732157468796, 0.04803595691919327, 0.04719134047627449, 0.033726222813129425, 0.02829248085618019, 0.04133157059550285, 0.08266695588827133, 0.03751084953546524, 0.07743170857429504, 0.010373442433774471, 0.020208315923810005, 0.06616295874118805, 0.02786409482359886, 0.03163164108991623, 0.008836102671921253, 0.04998035728931427, 0.009239014238119125, 0.03733567148447037, 0.008272282779216766, 0.04277323931455612, 0.027208106592297554, 0.011482364498078823, 0.034699127078056335, 0.0071256691589951515, 0.015202339738607407, 0.07267960160970688]","[0.0038823105860501528, 0.0010000000474974513, 0.9745556116104126, 0.01860954239964485, 0.0011822249507531524, 0.0010000000474974513]"
345,4,4.91%,3.0695,"[0.03021869994699955, 0.04506215080618858, 0.06645210832357407, 0.04745486378669739, 0.03549916669726372, 0.05442938581109047, 0.0483635850250721, 0.03839658573269844, 0.05800151824951172, 0.023637820035219193, 0.07754816114902496, 0.010521705262362957, 0.02053135819733143, 0.037788331508636475, 0.028969120234251022, 0.05323317274451256, 0.00942173507064581, 0.05275379493832588, 0.008160321973264217, 0.020305342972278595, 0.01714244857430458, 0.07689664512872696, 0.02113828808069229, 0.008521487936377525, 0.038011204451322556, 0.008369003422558308, 0.018605448305606842, 0.04456647112965584]","[0.0035323859192430973, 0.9766913056373596, 0.0010000000474974513, 0.001362919108942151, 0.016785897314548492, 0.0010000000474974513]"
346,16,4.90%,4.6706,"[0.028157426044344902, 0.043545834720134735, 0.06583242118358612, 0.049873221665620804, 0.03940610587596893, 0.05290742591023445, 0.04088668152689934, 0.03823136165738106, 0.05934479460120201, 0.024197939783334732, 0.08310702443122864, 0.009950609877705574, 0.020545577630400658, 0.042197003960609436, 0.027855806052684784, 0.04851451516151428, 0.009281622245907784, 0.05778227001428604, 0.008186446502804756, 0.022367600351572037, 0.014934196136891842, 0.06824260205030441, 0.021939516067504883, 0.008492152206599712, 0.03817375376820564, 0.007323971018195152, 0.018083516508340836, 0.05063856393098831]","[0.003929981030523777, 0.0010000000474974513, 0.978999137878418, 0.001503938576206565, 0.014192217960953712, 0.0010000000474974513]"
347,4,4.89%,3.3133,"[0.027705160900950432, 0.041182681918144226, 0.06256642937660217, 0.04919207841157913, 0.041399966925382614, 0.05125071480870247, 0.0434558242559433, 0.0390186607837677, 0.05794485658407211, 0.023980682715773582, 0.0838623121380806, 0.009907341562211514, 0.02108685113489628, 0.042861513793468475, 0.028337538242340088, 0.05133790522813797, 0.01001607533544302, 0.05724652111530304, 0.008029285818338394, 0.023251567035913467, 0.014507253654301167, 0.06781074404716492, 0.02178220823407173, 0.0088198808953166, 0.03636007755994797, 0.007624286226928234, 0.01891712099313736, 0.05054447427392006]","[0.0011038254015147686, 0.9794149994850159, 0.003980694338679314, 0.012991365045309067, 0.0010000000474974513, 0.0017586478497833014]"
348,1,4.87%,3.1897,"[0.02885294333100319, 0.040593236684799194, 0.06268684566020966, 0.05032670870423317, 0.04181760177016258, 0.055245887488126755, 0.04250689595937729, 0.038803111761808395, 0.05437794700264931, 0.022891204804182053, 0.0848381519317627, 0.009982358664274216, 0.020699383690953255, 0.041397422552108765, 0.02769515849649906, 0.05228475481271744, 0.010773172602057457, 0.059079043567180634, 0.00810177717357874, 0.022117363288998604, 0.014728297479450703, 0.0671076849102974, 0.021481063216924667, 0.008270706981420517, 0.037151310592889786, 0.007411041297018528, 0.019692804664373398, 0.049086008220911026]","[0.0010000000474974513, 0.00538228964433074, 0.9779746532440186, 0.0010276241227984428, 0.0010000000474974513, 0.014212834648787975]"
349,6,4.86%,3.3396,"[0.02912312000989914, 0.040843307971954346, 0.062338799238204956, 0.048795826733112335, 0.04130252078175545, 0.05785352736711502, 0.04152163863182068, 0.038054149597883224, 0.0530300997197628, 0.02037942409515381, 0.08828121423721313, 0.009960141964256763, 0.02118482068181038, 0.03876832127571106, 0.026811715215444565, 0.0555594265460968, 0.010869622230529785, 0.06149871274828911, 0.0077012707479298115, 0.02046196348965168, 0.01559942401945591, 0.06975036859512329, 0.020809918642044067, 0.007613933179527521, 0.037740558385849, 0.007143313065171242, 0.020510254427790642, 0.0464925654232502]","[0.004402685444802046, 0.0010000000474974513, 0.9819592237472534, 0.011368582025170326, 0.0010000000474974513, 0.0010000000474974513]"
350,14,4.84%,3.6423,"[0.026611607521772385, 0.0394144281744957, 0.057941094040870667, 0.05310625210404396, 0.04818730428814888, 0.04931872710585594, 0.038872845470905304, 0.038197681307792664, 0.05333532392978668, 0.023164136335253716, 0.08776061236858368, 0.009115330874919891, 0.021306579932570457, 0.045432198792696, 0.027927638962864876, 0.05295754596590996, 0.01048772782087326, 0.0633440911769867, 0.007949459366500378, 0.02386421523988247, 0.012990682385861874, 0.06554003059864044, 0.021715670824050903, 0.008373626507818699, 0.035930708050727844, 0.006714077200740576, 0.019816454499959946, 0.050623971968889236]","[0.005022362805902958, 0.9807105660438538, 0.0010817382717505097, 0.0019439816242083907, 0.00998890120536089, 0.0012524679768830538]"
351,14,4.83%,3.5777,"[0.023828256875276566, 0.03930360823869705, 0.055985450744628906, 0.0532018207013607, 0.0520043782889843, 0.045658811926841736, 0.037352971732616425, 0.037399742752313614, 0.056288156658411026, 0.02394862286746502, 0.08979436755180359, 0.008869064971804619, 0.021409250795841217, 0.050101347267627716, 0.027727602049708366, 0.04979269951581955, 0.010540615767240524, 0.06381238251924515, 0.007997535169124603, 0.0271728727966547, 0.011668002232909203, 0.058346208184957504, 0.02287222258746624, 0.008853085339069366, 0.03474867716431618, 0.0064775035716593266, 0.018842454999685287, 0.05600219964981079]","[0.9848254919052124, 0.004045478533953428, 0.0010000000474974513, 0.0027379465755075216, 0.0011365119135007262, 0.0063587212935090065]"
352,4,4.82%,3.0246,"[0.029824193567037582, 0.040945351123809814, 0.05456593260169029, 0.05423947051167488, 0.04560151323676109, 0.05651981756091118, 0.050495028495788574, 0.03576083481311798, 0.04334818199276924, 0.01924201101064682, 0.08540753275156021, 0.008410429581999779, 0.02058989368379116, 0.03714315593242645, 0.028450042009353638, 0.06436308473348618, 0.010892832651734352, 0.06273719668388367, 0.007608865853399038, 0.019186077639460564, 0.015947893261909485, 0.0775870829820633, 0.01980619877576828, 0.007427167147397995, 0.034849464893341064, 0.006908094976097345, 0.020397979766130447, 0.04174472764134407]","[0.00438986299559474, 0.9838846325874329, 0.0010000000474974513, 0.0034976783208549023, 0.00635887635871768, 0.0010000000474974513]"
353,13,4.80%,3.0008,"[0.019671471789479256, 0.03619043901562691, 0.052792977541685104, 0.05468713492155075, 0.06236415356397629, 0.03694683313369751, 0.03120017983019352, 0.038305170834064484, 0.06138725206255913, 0.028630362823605537, 0.08962927758693695, 0.00822587963193655, 0.02120089903473854, 0.06329674273729324, 0.02766987681388855, 0.04015538841485977, 0.010361004620790482, 0.062344782054424286, 0.008444482460618019, 0.03463079035282135, 0.008350949734449387, 0.04438595846295357, 0.02546658366918564, 0.009986398741602898, 0.0318930521607399, 0.005903840530663729, 0.016984034329652786, 0.06889402121305466]","[0.9874460697174072, 0.0010000000474974513, 0.002310427837073803, 0.0054830145090818405, 0.0012023660819977522, 0.0028992043808102608]"
354,21,4.79%,2.7275,"[0.024541357532143593, 0.0393441766500473, 0.05170167237520218, 0.05757264792919159, 0.057069502770900726, 0.04554285109043121, 0.043189454823732376, 0.03652234375476837, 0.04861762002110481, 0.0228461641818285, 0.08752995729446411, 0.007875974290072918, 0.021342679858207703, 0.04910263419151306, 0.029128454625606537, 0.05487393960356712, 0.010749256238341331, 0.0648059993982315, 0.007942919619381428, 0.02521749585866928, 0.011799630708992481, 0.0619632862508297, 0.02223372459411621, 0.008545844815671444, 0.03265808895230293, 0.006199304945766926, 0.018756434321403503, 0.05232664570212364]","[0.0010351778473705053, 0.9848318099975586, 0.003448724513873458, 0.001142354216426611, 0.002793486462906003, 0.006748368497937918]"
355,15,4.78%,2.7084,"[0.021705809980630875, 0.03881043195724487, 0.051116012036800385, 0.05653947964310646, 0.062279198318719864, 0.04177673161029816, 0.03693244233727455, 0.036609210073947906, 0.0539722815155983, 0.02412310428917408, 0.09072999656200409, 0.007525239139795303, 0.02179468795657158, 0.05604478716850281, 0.028756041079759598, 0.045640233904123306, 0.010234334506094456, 0.06733734160661697, 0.00797178689390421, 0.028946630656719208, 0.010258152149617672, 0.052151650190353394, 0.023081965744495392, 0.009022952057421207, 0.032065633684396744, 0.005713105201721191, 0.01716664433479309, 0.06169412285089493]","[0.0010033630533143878, 0.003934505395591259, 0.9849697947502136, 0.0065041715279221535, 0.0011467492440715432, 0.002441334305331111]"
356,20,4.76%,4.2696,"[0.02113071270287037, 0.0366777703166008, 0.0482487715780735, 0.059408217668533325, 0.0666995570063591, 0.037737682461738586, 0.03651256114244461, 0.03643576800823212, 0.052597008645534515, 0.026101145893335342, 0.08850854635238647, 0.007308838423341513, 0.021286504343152046, 0.06003197655081749, 0.02972286194562912, 0.04648936167359352, 0.010378838516771793, 0.06482429057359695, 0.008202034048736095, 0.03167340159416199, 0.009089354425668716, 0.051273807883262634, 0.023764288052916527, 0.00960514321923256, 0.031232772395014763, 0.005782012827694416, 0.01733492501080036, 0.06194191053509712]","[0.9832431674003601, 0.0014950066106393933, 0.00379362259991467, 0.0022565319668501616, 0.007732583209872246, 0.001478985883295536]"
357,11,4.75%,4.9028,"[0.02863532491028309, 0.039912961423397064, 0.04920134320855141, 0.057810183614492416, 0.05405796319246292, 0.05165126547217369, 0.05478466674685478, 0.03515620902180672, 0.038673292845487595, 0.019133808091282845, 0.0821845754981041, 0.007572780828922987, 0.0212092287838459, 0.03986433893442154, 0.030524427071213722, 0.06881464272737503, 0.0114333750680089, 0.06411609798669815, 0.007472418248653412, 0.019312644377350807, 0.014975911006331444, 0.07741722464561462, 0.019519265741109848, 0.00750223733484745, 0.031562551856040955, 0.006468559615314007, 0.020336071029305458, 0.040696706622838974]","[0.9815610647201538, 0.0020664669573307037, 0.0039185709320008755, 0.0017227098578587174, 0.0085607273504138, 0.002170430263504386]"
358,12,4.74%,3.8140,"[0.024300215765833855, 0.04036100581288338, 0.0465388149023056, 0.058743514120578766, 0.06158383563160896, 0.04371426999568939, 0.048247113823890686, 0.034759532660245895, 0.043215762823820114, 0.020709166303277016, 0.08493922650814056, 0.007166116964071989, 0.02206285297870636, 0.04769174009561539, 0.03167083486914635, 0.061077848076820374, 0.010759059339761734, 0.06742487102746964, 0.007621734403073788, 0.02391790971159935, 0.01304724533110857, 0.06818167865276337, 0.020600035786628723, 0.008363175205886364, 0.030823014676570892, 0.00612062169238925, 0.018803060054779053, 0.04755575954914093]","[0.9833710789680481, 0.0013499038759618998, 0.003962990827858448, 0.007480919826775789, 0.001903681317344308, 0.0019314043456688523]"
359,9,4.72%,3.9943,"[0.02922232821583748, 0.04068432003259659, 0.044483162462711334, 0.05695357546210289, 0.0546080581843853, 0.04949701204895973, 0.059910982847213745, 0.03292877599596977, 0.034728582948446274, 0.01696557179093361, 0.07930074632167816, 0.007147872820496559, 0.022104570642113686, 0.03586665913462639, 0.03319708630442619, 0.07755372673273087, 0.01109261903911829, 0.0643545612692833, 0.007216521538794041, 0.01793154701590538, 0.017412539571523666, 0.08861350268125534, 0.017985468730330467, 0.007315328810364008, 0.030715256929397583, 0.006865318864583969, 0.02084396965801716, 0.03450030833482742]","[0.9828894734382629, 0.0015383150894194841, 0.0034742355346679688, 0.0018352497136220336, 0.008463283069431782, 0.001799374003894627]"
360,11,4.71%,4.9540,"[0.028897110372781754, 0.03977019339799881, 0.04520507529377937, 0.05687792971730232, 0.05676135793328285, 0.049028750509023666, 0.058830611407756805, 0.034460511058568954, 0.03596328943967819, 0.018429193645715714, 0.07990225404500961, 0.0072446558624506, 0.022527487948536873, 0.038103699684143066, 0.033036909997463226, 0.0729171559214592, 0.011169354431331158, 0.06363826245069504, 0.007496308069676161, 0.018710888922214508, 0.016471829265356064, 0.0833568349480629, 0.018756138160824776, 0.007699429057538509, 0.030078809708356857, 0.006914390716701746, 0.020538613200187683, 0.03721291199326515]","[0.9841835498809814, 0.0017884747358039021, 0.0027834451757371426, 0.00796311441808939, 0.0015002291183918715, 0.001781261176802218]"
361,4,4.70%,2.8685,"[0.02507183328270912, 0.03936459869146347, 0.04724966734647751, 0.05817048251628876, 0.06334862112998962, 0.04308994859457016, 0.04766135290265083, 0.03495971858501434, 0.04273717850446701, 0.022089684382081032, 0.08353303372859955, 0.007556205615401268, 0.022891486063599586, 0.04744049161672592, 0.03253381326794624, 0.06066227704286575, 0.010776752606034279, 0.06510329246520996, 0.007820121012628078, 0.024057278409600258, 0.013293733820319176, 0.068061962723732, 0.021211687475442886, 0.008720722049474716, 0.03022175282239914, 0.006421123631298542, 0.019032204523682594, 0.04691896587610245]","[0.001261062570847571, 0.002505404409021139, 0.9856809377670288, 0.0017833892488852143, 0.0013589650625362992, 0.007410155609250069]"
362,2,4.68%,3.0862,"[0.02144555188715458, 0.037679266184568405, 0.04696189984679222, 0.058263931423425674, 0.07067941129207611, 0.03523311764001846, 0.04169831424951553, 0.036180321127176285, 0.04874001070857048, 0.026886748149991035, 0.08183789998292923, 0.007819694466888905, 0.02333909273147583, 0.058290425688028336, 0.03230317309498787, 0.05305993929505348, 0.010541083291172981, 0.06160036101937294, 0.008257345296442509, 0.029940851032733917, 0.010417602024972439, 0.05712703615427017, 0.023913497105240822, 0.01005683932453394, 0.028562134131789207, 0.006297031417489052, 0.01790301315486431, 0.054964467883110046]","[0.9890744686126709, 0.0010000000474974513, 0.00215431721881032, 0.0010000000474974513, 0.0016096032923087478, 0.0055211810395121574]"
