round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,alpha,0.05,,EMA Dampened
2947,0,49.42%,87.18%,0.0005,"[0.999634861946106, 0.0003651425940915942]",0.091820788,,,
2948,0,49.41%,87.18%,0.0002,"[0.9997848868370056, 0.0002150904620066285]",0.087239749,,,
2949,0,49.39%,87.15%,0.8944,"[0.35754692554473877, 0.642453134059906]",0.127597761,,,
2950,1,49.41%,87.16%,0.0251,"[0.023609912022948265, 0.9763901233673096]",0.122472873,,,
2951,0,49.39%,87.16%,0.0002,"[0.999775230884552, 0.0002248346572741866]",0.11635923,,,
2952,0,49.37%,87.17%,0.0004,"[0.9996317625045776, 0.00036818417720496655]",0.110561268,,,
2953,1,49.39%,87.17%,0.024,"[0.020773574709892273, 0.9792264699935913]",0.106233205,,,
2954,1,49.41%,87.17%,0.0312,"[0.024322519078850746, 0.9756775498390198]",0.102481545,,,
2955,1,49.42%,87.18%,0.0232,"[0.022306397557258606, 0.9776935577392578]",0.098517467,,,
2956,1,49.44%,87.18%,0.0174,"[0.0169212743639946, 0.9830787181854248]",0.094461594,,,
2957,0,49.43%,87.15%,3.6975,"[0.02199697494506836, 0.9780030846595764]",0.274613514,,,
2958,0,49.41%,87.16%,1.8126,"[0.5048034191131592, 0.49519655108451843]",0.351512839,,,
2959,0,49.39%,87.16%,0.0025,"[0.9604973196983337, 0.039502669125795364]",0.334062197,,,
2960,1,49.41%,87.17%,0.021,"[0.021842248737812042, 0.9781576991081238]",0.318409087,,,
2961,0,49.39%,87.17%,0.0001,"[0.9998867511749268, 0.00011329032713547349]",0.302493632,,,
2962,1,49.41%,87.14%,5.4211,"[0.9879944324493408, 0.012005586177110672]",0.558423951,,,
2963,1,49.43%,87.15%,0.0639,"[0.0513753741979599, 0.9486246109008789]",0.533697753,,,
2964,1,49.44%,87.15%,0.024,"[0.02499553933739662, 0.9750044941902161]",0.508212866,,,
2965,0,49.43%,87.15%,0.0001,"[0.9998428821563721, 0.00015704642282798886]",0.482807222,,,
2966,1,49.44%,87.16%,0.1024,"[0.10834886133670807, 0.8916510939598083]",0.463786861,,,
2967,0,49.43%,87.16%,0.0002,"[0.9998451471328735, 0.00015485637413803488]",0.440607518,,,
2968,0,49.41%,87.17%,0.0002,"[0.9997428059577942, 0.00025717433891259134]",0.418587142,,,
2969,0,49.39%,87.14%,2.7047,"[0.08211825788021088, 0.9178817868232727]",0.532892785,,,
2970,0,49.38%,87.11%,0.0105,"[0.4856013357639313, 0.5143986940383911]",0.506773146,,,
2971,1,49.39%,87.11%,0.0331,"[0.03294963017106056, 0.9670503735542297]",0.483089489,,,
2972,1,49.41%,87.12%,0.092,"[0.09977398067712784, 0.9002260565757751]",0.463535014,,,
2973,0,49.39%,87.12%,0.0002,"[0.9998396635055542, 0.00016035244334489107]",0.440368263,,,
2974,0,49.38%,87.13%,0.0001,"[0.9998636245727539, 0.0001363047049380839]",0.41835485,,,
2975,1,49.40%,87.13%,0.0559,"[0.0463956780731678, 0.9536042809486389]",0.400232108,,,
2976,0,49.38%,87.10%,2.96,"[0.04354960098862648, 0.956450343132019]",0.528220502,,,
2977,1,49.40%,87.11%,0.077,"[0.05650065839290619, 0.9434993267059326]",0.505659477,,,
2978,1,49.41%,87.11%,0.0474,"[0.04049080237746239, 0.9595091938972473]",0.482746503,,,
2979,0,49.40%,87.11%,0.0002,"[0.9997411370277405, 0.00025881745386868715]",0.458619178,,,
2980,0,49.38%,87.12%,0.0017,"[0.9963619112968445, 0.0036380584351718426]",0.435773219,,,
2981,1,49.40%,87.12%,0.0671,"[0.06382863968610764, 0.936171293258667]",0.417339558,,,
2982,0,49.38%,87.13%,0.0002,"[0.9998015761375427, 0.00019847959629260004]",0.39648258,,,
2983,1,49.40%,87.13%,0.0402,"[0.042136915028095245, 0.9578631520271301]",0.378668451,,,
2984,0,49.38%,87.10%,2.7007,"[0.06123017892241478, 0.9387698769569397]",0.494770029,,,
2985,1,49.40%,87.11%,0.0463,"[0.04599938914179802, 0.9540005326271057]",0.472346527,,,
2986,0,49.38%,87.11%,0.0074,"[0.9485889077186584, 0.05141109228134155]",0.449099201,,,
2987,0,49.36%,87.08%,2.9352,"[0.056366946548223495, 0.9436330199241638]",0.573404241,,,
2988,1,49.38%,87.09%,0.0491,"[0.04052089899778366, 0.9594791531562805]",0.547189029,,,
2989,1,49.40%,87.09%,0.0668,"[0.06956897675991058, 0.9304310083389282]",0.523169577,,,
2990,0,49.38%,87.09%,0.0002,"[0.999818742275238, 0.00018129359523300081]",0.497021099,,,
2991,1,49.40%,87.10%,1.7507,"[0.46442243456840515, 0.5355774760246277]",0.559705044,,,
2992,0,49.38%,87.10%,0.0317,"[0.9420314431190491, 0.05796853080391884]",0.533304792,,,
2993,1,49.40%,87.11%,0.0708,"[0.06151537224650383, 0.9384846091270447]",0.510179552,,,
2994,0,49.38%,87.11%,0.0002,"[0.9998538494110107, 0.000146148115163669]",0.484680574,,,
2995,0,49.37%,87.08%,1.887,"[0.13953419029712677, 0.8604658246040344]",0.554796546,,,
2996,0,49.35%,87.09%,0.0002,"[0.9998040795326233, 0.0001959480287041515]",0.527066718,,,
2997,0,49.33%,87.09%,0.0613,"[0.8654317855834961, 0.13456815481185913]",0.503778382,,,
2998,0,49.32%,87.10%,0.0002,"[0.9998100399971008, 0.00018996359722223133]",0.478599463,,,
2999,0,49.30%,87.10%,0.0011,"[0.9943320751190186, 0.005667910911142826]",0.45472449,,,
3000,1,49.32%,87.10%,0.0539,"[0.048742130398750305, 0.9512579441070557]",0.434683266,,,
3001,1,49.33%,87.11%,0.0618,"[0.05514105036854744, 0.944858968257904]",0.416039102,,,
3002,1,49.35%,87.11%,0.3087,"[0.29683664441108704, 0.7031633257865906]",0.410672147,,,
3003,1,49.37%,87.12%,0.0991,"[0.09917154908180237, 0.9008284211158752]",0.39509354,,,
3004,0,49.35%,87.12%,0.0002,"[0.999869704246521, 0.00013029084948357195]",0.375348863,,,
3005,1,49.37%,87.13%,0.181,"[0.15166808664798737, 0.8483319282531738]",0.36563142,,,
3006,1,49.38%,87.13%,0.1911,"[0.19922159612178802, 0.8007784485816956]",0.356904849,,,
3007,1,49.40%,87.13%,0.0808,"[0.08045880496501923, 0.9195411801338196]",0.343099606,,,
3008,0,49.39%,87.14%,0.0002,"[0.9998243451118469, 0.0001756621350068599]",0.325954626,,,
3009,1,49.40%,87.14%,0.0907,"[0.06742102652788162, 0.9325790405273438]",0.314191895,,,
3010,0,49.39%,87.11%,2.6759,"[0.0708102211356163, 0.9291897416114807]",0.4322773,,,
3011,0,49.37%,87.12%,0.0002,"[0.9998455047607422, 0.00015446290490217507]",0.410673435,,,
3012,1,49.39%,87.12%,0.0376,"[0.0289970301091671, 0.9710029363632202]",0.392019763,,,
3013,0,49.37%,87.13%,0.0002,"[0.9997751116752625, 0.00022485114459414035]",0.372428775,,,
3014,1,49.39%,87.13%,0.0438,"[0.06604929268360138, 0.9339507222175598]",0.355997336,,,
3015,1,49.40%,87.14%,0.0326,"[0.035396043211221695, 0.9646039605140686]",0.339827469,,,
3016,1,49.42%,87.14%,0.0247,"[0.047569986432790756, 0.9524299502372742]",0.324071096,,,
3017,0,49.40%,87.14%,0.0006,"[0.9993765950202942, 0.0006234549218788743]",0.307897541,,,
3018,0,49.39%,87.15%,0.0003,"[0.9996801614761353, 0.00031989210401661694]",0.292517664,,,
3019,0,49.37%,87.15%,0.0004,"[0.9994723200798035, 0.0005276755546219647]",0.277911781,,,
3020,1,49.39%,87.16%,0.0384,"[0.03489939123392105, 0.9651005864143372]",0.265936192,,,
3021,0,49.37%,87.13%,3.3516,"[0.043116047978401184, 0.9568839073181152]",0.420219382,,,
3022,1,49.39%,87.13%,0.031,"[0.034050751477479935, 0.965949296951294]",0.400758413,,,
3023,1,49.40%,87.14%,0.0382,"[0.034974005073308945, 0.9650259613990784]",0.382630493,,,
3024,1,49.42%,87.14%,0.0353,"[0.033188000321388245, 0.966812014579773]",0.365263968,,,
3025,1,49.44%,87.14%,0.0365,"[0.0389731265604496, 0.9610267877578735]",0.34882577,,,
3026,1,49.45%,87.15%,0.1214,"[0.0628080666065216, 0.937191903591156]",0.337454481,,,
3027,1,49.47%,87.15%,0.0329,"[0.036775801330804825, 0.9632242321968079]",0.322226757,,,
3028,0,49.46%,87.16%,0.0007,"[0.9993680119514465, 0.0006319911335594952]",0.306150419,,,
3029,0,49.44%,87.16%,0.0002,"[0.9998339414596558, 0.0001660283305682242]",0.290852898,,,
3030,1,49.46%,87.17%,0.0237,"[0.03734089061617851, 0.9626591801643372]",0.277495253,,,
3031,1,49.47%,87.17%,1.9323,"[0.06762100011110306, 0.9323789477348328]",0.360235491,,,
3032,1,49.49%,87.17%,0.029,"[0.030674099922180176, 0.969325840473175]",0.343673716,,,
3033,0,49.47%,87.18%,0.0003,"[0.9997338652610779, 0.0002661340986378491]",0.32650503,,,
3034,0,49.46%,87.18%,0.0002,"[0.999798595905304, 0.0002014085912378505]",0.310189779,,,
3035,1,49.47%,87.19%,0.0397,"[0.04050290957093239, 0.9594971537590027]",0.29666529,,,
3036,1,49.49%,87.19%,0.0608,"[0.03171341493725777, 0.9682866334915161]",0.284872025,,,
3037,1,49.51%,87.20%,0.0322,"[0.02860046736896038, 0.9713995456695557]",0.272238424,,,
3038,0,49.49%,87.20%,0.0007,"[0.9991869330406189, 0.0008130981586873531]",0.258661503,,,
3039,1,49.51%,87.20%,0.0302,"[0.02818707376718521, 0.9718129634857178]",0.247238428,,,
3040,0,49.49%,87.21%,0.001,"[0.9992163181304932, 0.0007836541626602411]",0.234926506,,,
3041,0,49.47%,87.18%,3.3847,"[0.03588171303272247, 0.9641183018684387]",0.392415181,,,
3042,1,49.49%,87.18%,0.0295,"[0.03797532990574837, 0.9620246887207031]",0.374269422,,,
3043,0,49.47%,87.19%,0.0003,"[0.9997652173042297, 0.00023482217511627823]",0.355570951,,,
3044,1,49.49%,87.19%,0.0341,"[0.04471762478351593, 0.9552823901176453]",0.339497403,,,
3045,0,49.47%,87.20%,0.0084,"[0.9902709722518921, 0.009728998877108097]",0.322942533,,,
3046,0,49.46%,87.20%,0.0004,"[0.999679684638977, 0.0003203459200449288]",0.306815406,,,
3047,0,49.44%,87.20%,0.0004,"[0.9997153878211975, 0.00028459090390242636]",0.291494636,,,
3048,1,49.46%,87.21%,0.0463,"[0.05081305280327797, 0.9491869807243347]",0.279234904,,,
3049,1,49.48%,87.21%,0.0487,"[0.04545583575963974, 0.954544186592102]",0.267708159,,,
3050,1,49.49%,87.22%,0.0352,"[0.03857515752315521, 0.9614248871803284]",0.256082751,,,
3051,0,49.48%,87.19%,0.4371,"[0.21307140588760376, 0.786928653717041]",0.265133614,,,
3052,1,49.49%,87.19%,0.0358,"[0.03567879647016525, 0.9643211960792542]",0.253666933,,,
3053,0,49.48%,87.20%,1.8489,"[0.5926016569137573, 0.40739837288856506]",0.333428586,,,
3054,1,49.49%,87.20%,0.0479,"[0.04440503939986229, 0.9555949568748474]",0.319152157,,,
3055,1,49.51%,87.21%,0.0336,"[0.048630062490701675, 0.9513698816299438]",0.304874549,,,
3056,0,49.49%,87.21%,0.0013,"[0.9984619617462158, 0.001538030686788261]",0.289695822,,,
3057,1,49.51%,87.21%,0.0393,"[0.040987979620695114, 0.9590120911598206]",0.277176031,,,
3058,1,49.53%,87.22%,0.0306,"[0.028999585658311844, 0.9710004925727844]",0.264847229,,,
3059,0,49.51%,87.19%,3.0916,"[0.05985742807388306, 0.9401425719261169]",0.406184868,,,
3060,0,49.49%,87.19%,0.0002,"[0.9998219609260559, 0.0001781117607606575]",0.385885624,,,
3061,0,49.48%,87.20%,0.0004,"[0.9996321201324463, 0.0003678436914924532]",0.366611343,,,
3062,1,49.49%,87.20%,0.0498,"[0.042041730135679245, 0.9579582810401917]",0.350770776,,,
3063,0,49.48%,87.17%,2.2232,"[0.09519672393798828, 0.9048032164573669]",0.444392237,,,
3064,1,49.49%,87.18%,0.098,"[0.05359569936990738, 0.9464043378829956]",0.427072625,,,
3065,0,49.48%,87.18%,0.0002,"[0.9998236298561096, 0.00017639328143559396]",0.405728994,,,
3066,1,49.49%,87.19%,2.2561,"[0.4987710416316986, 0.5012289881706238]",0.498247544,,,
3067,1,49.51%,87.19%,0.0382,"[0.048542916774749756, 0.9514570832252502]",0.475245167,,,
3068,0,49.49%,87.16%,1.7306,"[0.1868419051170349, 0.8131580948829651]",0.538012909,,,
3069,1,49.51%,87.17%,0.0997,"[0.11582177132368088, 0.8841782212257385]",0.516097263,,,
3070,1,49.53%,87.17%,0.616,"[0.3115070164203644, 0.6884929537773132]",0.5210924,,,
3071,0,49.51%,87.17%,0.0002,"[0.999782383441925, 0.00021763176482636482]",0.49504778,,,
3072,1,49.53%,87.18%,0.2072,"[0.1046133041381836, 0.8953867554664612]",0.480655391,,,
3073,1,49.54%,87.18%,0.0601,"[0.04250217229127884, 0.9574978351593018]",0.459627622,,,
3074,0,49.53%,87.19%,0.0002,"[0.9998281002044678, 0.0001718956045806408]",0.43665624,,,
3075,1,49.54%,87.19%,0.0879,"[0.1395677775144577, 0.8604322075843811]",0.419218428,,,
3076,0,49.53%,87.20%,0.0078,"[0.9466565847396851, 0.05334336310625076]",0.398647507,,,
3077,0,49.51%,87.20%,0.0002,"[0.9997885823249817, 0.00021143732010386884]",0.378725132,,,
3078,1,49.53%,87.20%,0.0408,"[0.04083823412656784, 0.9591617584228516]",0.361828875,,,
3079,0,49.51%,87.21%,0.0003,"[0.9996758699417114, 0.0003240858786739409]",0.343752431,,,
3080,0,49.50%,87.21%,0.0004,"[0.9995532631874084, 0.00044671993236988783]",0.32658481,,,
3081,1,49.51%,87.22%,0.0673,"[0.07284598797559738, 0.9271540641784668]",0.313620569,,,
3082,1,49.53%,87.22%,0.0803,"[0.08034902065992355, 0.9196509122848511]",0.301954541,,,
3083,0,49.51%,87.19%,1.3452,"[0.3424186408519745, 0.6575813293457031]",0.354116814,,,
3084,0,49.50%,87.16%,2.8616,"[0.05960232391953468, 0.9403976798057556]",0.479490973,,,
3085,1,49.51%,87.17%,0.1282,"[0.06873449683189392, 0.9312655329704285]",0.461926424,,,
3086,1,49.53%,87.17%,0.0467,"[0.05270290747284889, 0.9472971558570862]",0.441165103,,,
3087,0,49.51%,87.14%,2.6155,"[0.07229918241500854, 0.9277008771896362]",0.549881848,,,
3088,1,49.53%,87.15%,0.318,"[0.1531325727701187, 0.8468674421310425]",0.538287756,,,
3089,1,49.55%,87.15%,0.0681,"[0.054920073598623276, 0.9450799226760864]",0.514778368,,,
3090,0,49.53%,87.12%,2.7985,"[0.052626412361860275, 0.9473735094070435]",0.628964449,,,
3091,0,49.51%,87.13%,0.0006,"[0.9994785189628601, 0.0005215278943069279]",0.597546227,,,
3092,0,49.50%,87.13%,0.0006,"[0.999393105506897, 0.0006069141672924161]",0.567698916,,,
3093,0,49.48%,87.14%,0.0003,"[0.9994801878929138, 0.0005198193830437958]",0.53932897,,,
3094,0,49.47%,87.14%,0.0006,"[0.9990787506103516, 0.000921238271985203]",0.512392521,,,
3095,1,49.48%,87.14%,0.0621,"[0.05160895362496376, 0.9483910799026489]",0.489877895,,,
3096,1,49.50%,87.15%,0.1116,"[0.09768504649400711, 0.9023149013519287]",0.470964001,,,
3097,0,49.48%,87.15%,0.0011,"[0.9995468258857727, 0.0004530915175564587]",0.447470801,,,
3098,1,49.50%,87.16%,0.0653,"[0.07854518294334412, 0.9214548468589783]",0.42836226,,,
3099,1,49.52%,87.16%,0.0698,"[0.0829949900507927, 0.9170050621032715]",0.410434147,,,
3100,0,49.50%,87.13%,1.743,"[0.21740663051605225, 0.7825933694839478]",0.47706244,,,
3101,0,49.48%,87.14%,0.0003,"[0.9997178912162781, 0.00028204909176565707]",0.453224318,,,
3102,1,49.50%,87.14%,0.142,"[0.17586223781108856, 0.8241377472877502]",0.437663102,,,
3103,1,49.52%,87.15%,0.1198,"[0.09772525727748871, 0.9022747278213501]",0.421769947,,,
3104,0,49.50%,87.15%,0.0007,"[0.9992188215255737, 0.0007812138646841049]",0.40071645,,,
3105,0,49.48%,87.15%,0.0011,"[0.9981960654258728, 0.0018039674032479525]",0.380735627,,,
3106,0,49.47%,87.13%,1.6458,"[0.3353446125984192, 0.6646553874015808]",0.443988846,,,
3107,0,49.45%,87.13%,0.0004,"[0.9996844530105591, 0.0003155220183543861]",0.421809404,,,
3108,1,49.47%,87.13%,0.1109,"[0.25457656383514404, 0.745423436164856]",0.406263933,,,
3109,1,49.49%,87.14%,0.1368,"[0.11695153266191483, 0.8830484747886658]",0.392790737,,,
3110,0,49.47%,87.14%,0.0003,"[0.9998096823692322, 0.00019034271826967597]",0.3731662,,,
3111,1,49.49%,87.15%,0.0833,"[0.0757635310292244, 0.9242364764213562]",0.35867289,,,
3112,0,49.47%,87.15%,0.0003,"[0.9995380640029907, 0.0004619234532583505]",0.340754245,,,
3113,1,49.49%,87.15%,0.1007,"[0.13801789283752441, 0.8619821071624756]",0.328751533,,,
3114,0,49.47%,87.16%,0.0002,"[0.9997283816337585, 0.0002716532617341727]",0.312323956,,,
3115,0,49.45%,87.16%,0.0007,"[0.9995706677436829, 0.0004292892699595541]",0.296742759,,,
3116,1,49.47%,87.17%,0.0962,"[0.09954426437616348, 0.9004557728767395]",0.286715621,,,
3117,1,49.49%,87.17%,0.0853,"[0.0891934409737587, 0.9108065962791443]",0.27664484,,,
3118,0,49.47%,87.18%,0.0034,"[0.9978412389755249, 0.0021587898954749107]",0.262982598,,,
3119,1,49.49%,87.18%,0.0642,"[0.05388512462377548, 0.9461148381233215]",0.253043468,,,
3120,1,49.50%,87.18%,0.0708,"[0.06848865002393723, 0.9315113425254822]",0.243931294,,,
3121,1,49.52%,87.19%,0.0485,"[0.03533469885587692, 0.9646652936935425]",0.23415973,,,
3122,0,49.50%,87.19%,0.0005,"[0.999350368976593, 0.0006495666457340121]",0.222476743,,,
3123,0,49.49%,87.20%,0.1313,"[0.9444673657417297, 0.05553264543414116]",0.217917906,,,
3124,0,49.47%,87.20%,0.0011,"[0.9994392991065979, 0.0005607305793091655]",0.207077011,,,
3125,0,49.46%,87.20%,0.0026,"[0.9942097663879395, 0.005790193565189838]",0.19685316,,,
3126,0,49.44%,87.21%,0.0002,"[0.999559223651886, 0.00044071103911846876]",0.187020502,,,
3127,0,49.42%,87.21%,0.0017,"[0.9983258843421936, 0.0016740795690566301]",0.177754477,,,
3128,0,49.41%,87.22%,0.001,"[0.998808741569519, 0.0011913266498595476]",0.168916753,,,
3129,0,49.39%,87.22%,0.0139,"[0.9848771095275879, 0.01512284204363823]",0.161165916,,,
3130,1,49.41%,87.22%,0.0673,"[0.059895917773246765, 0.940104067325592]",0.15647262,,,
3131,0,49.39%,87.23%,0.0003,"[0.9997046589851379, 0.0002952598442789167]",0.148663989,,,
3132,1,49.41%,87.23%,0.0205,"[0.040611520409584045, 0.9593884944915771]",0.142255789,,,
3133,1,49.43%,87.24%,0.0311,"[0.02924128994345665, 0.9707587361335754]",0.136698,,,
3134,0,49.41%,87.24%,0.0006,"[0.9993146657943726, 0.0006853234954178333]",0.1298931,,,
3135,1,49.43%,87.24%,0.0383,"[0.038604628294706345, 0.9613953232765198]",0.125313445,,,
3136,0,49.41%,87.25%,0.0008,"[0.9994298815727234, 0.000570126052480191]",0.119087773,,,
3137,0,49.39%,87.25%,0.0005,"[0.9994538426399231, 0.0005460989195853472]",0.113158384,,,
3138,1,49.41%,87.26%,0.0285,"[0.03829636797308922, 0.9617035984992981]",0.108925465,,,
3139,0,49.39%,87.23%,3.3795,"[0.048011548817157745, 0.9519884586334229]",0.272454192,,,
3140,0,49.38%,87.23%,0.0003,"[0.9995574355125427, 0.00044251891085878015]",0.258846482,,,
3141,0,49.36%,87.24%,0.0002,"[0.9997392296791077, 0.00026081703254021704]",0.245914158,,,
3142,0,49.35%,87.21%,3.2886,"[0.04045991227030754, 0.959540069103241]",0.39804845,,,
3143,0,49.33%,87.21%,0.0003,"[0.9997575879096985, 0.00024237699108198285]",0.378161028,,,
3144,1,49.35%,87.22%,0.035,"[0.04476667568087578, 0.9552333354949951]",0.361002976,,,
3145,1,49.36%,87.22%,0.0783,"[0.07590960711240768, 0.9240903854370117]",0.346867827,,,
3146,0,49.35%,87.23%,0.23,"[0.8213643431663513, 0.1786356270313263]",0.341024436,,,
3147,0,49.33%,87.23%,0.0002,"[0.999824583530426, 0.00017546011076774448]",0.323983214,,,
3148,1,49.35%,87.23%,0.1128,"[0.09335442632436752, 0.9066455960273743]",0.313424053,,,
3149,0,49.33%,87.24%,0.0002,"[0.9997925162315369, 0.00020752899581566453]",0.297762851,,,
3150,0,49.32%,87.21%,2.4314,"[0.09082354605197906, 0.9091764092445374]",0.404444708,,,
3151,1,49.33%,87.21%,0.0791,"[0.10886582732200623, 0.8911342024803162]",0.388177473,,,
3152,1,49.35%,87.22%,0.0748,"[0.07031625509262085, 0.9296837449073792]",0.372508599,,,
3153,1,49.37%,87.22%,0.0915,"[0.09207779169082642, 0.9079221487045288]",0.358458169,,,
3154,1,49.38%,87.23%,0.0964,"[0.1020825207233429, 0.8979174494743347]",0.345355261,,,
3155,0,49.37%,87.23%,0.0004,"[0.9997468590736389, 0.0002531351346988231]",0.328107498,,,
3156,1,49.38%,87.23%,0.0527,"[0.059899456799030304, 0.9401004910469055]",0.314337123,,,
3157,1,49.40%,87.24%,0.1603,"[0.12071197479963303, 0.8792880177497864]",0.306635267,,,
3158,1,49.41%,87.24%,0.127,"[0.1284129023551941, 0.8715870380401611]",0.297653503,,,
3159,1,49.43%,87.25%,0.0648,"[0.06276711076498032, 0.9372328519821167]",0.286010828,,,
3160,0,49.41%,87.25%,0.0001,"[0.999879002571106, 0.0001209606634802185]",0.271715287,,,
3161,1,49.43%,87.25%,0.2911,"[0.3146666884422302, 0.685333251953125]",0.272684522,,,
3162,1,49.45%,87.26%,0.0557,"[0.058271050453186035, 0.941728949546814]",0.261835296,,,
3163,1,49.46%,87.26%,0.2519,"[0.1672254502773285, 0.8327745795249939]",0.261338532,,,
3164,1,49.48%,87.27%,0.0528,"[0.04527362063527107, 0.9547263979911804]",0.250911605,,,
3165,1,49.49%,87.27%,0.0312,"[0.02948547899723053, 0.9705144762992859]",0.239926025,,,
3166,1,49.51%,87.28%,0.0328,"[0.030702214688062668, 0.9692977666854858]",0.229569723,,,
3167,1,49.53%,87.28%,0.0307,"[0.028892021626234055, 0.9711079001426697]",0.219626237,,,
3168,1,49.54%,87.28%,0.0323,"[0.03148569166660309, 0.9685142636299133]",0.210259925,,,
3169,1,49.56%,87.29%,0.0342,"[0.027033645659685135, 0.9729663133621216]",0.201456929,,,
3170,1,49.57%,87.29%,0.0277,"[0.030170751735568047, 0.969829261302948]",0.192769083,,,
3171,0,49.56%,87.26%,3.2861,"[0.0371885672211647, 0.9628114104270935]",0.347435629,,,
3172,0,49.54%,87.27%,0.0002,"[0.9997738003730774, 0.0002262239868286997]",0.330073847,,,
3173,1,49.56%,87.27%,0.0232,"[0.023237580433487892, 0.9767624735832214]",0.314730155,,,
3174,0,49.54%,87.28%,0.0011,"[0.9984897375106812, 0.0015102459583431482]",0.299048647,,,
3175,1,49.56%,87.28%,0.0296,"[0.02438131533563137, 0.9756187200546265]",0.285576215,,,
3176,1,49.58%,87.28%,0.0273,"[0.02621900849044323, 0.9737809896469116]",0.272662404,,,
3177,0,49.56%,87.29%,0.0088,"[0.9949916005134583, 0.005008368752896786]",0.259469284,,,
3178,1,49.58%,87.29%,0.0211,"[0.01949772797524929, 0.9805023074150085]",0.24755082,,,
3179,1,49.59%,87.30%,0.0238,"[0.022624338045716286, 0.9773756265640259]",0.236363279,,,
3180,0,49.58%,87.30%,0.734,"[0.9964509010314941, 0.003549043321982026]",0.261245115,,,
3181,0,49.56%,87.27%,3.7267,"[0.023577747866511345, 0.9764223098754883]",0.434517859,,,
3182,1,49.58%,87.28%,0.0255,"[0.027227291837334633, 0.9727727174758911]",0.414066966,,,
3183,0,49.56%,87.28%,0.0005,"[0.9995642304420471, 0.00043571816058829427]",0.393388618,,,
3184,0,49.54%,87.28%,0.0006,"[0.9994268417358398, 0.000573168508708477]",0.373749187,,,
3185,1,49.56%,87.29%,0.0302,"[0.03417250141501427, 0.9658275246620178]",0.356571727,,,
3186,0,49.55%,87.29%,0.0019,"[0.9968621730804443, 0.0031378697603940964]",0.338838141,,,
3187,0,49.53%,87.30%,0.0003,"[0.9993762373924255, 0.0006238397909328341]",0.321911234,,,
3188,0,49.51%,87.30%,0.001,"[0.9992325305938721, 0.0007675308734178543]",0.305865672,,,
3189,1,49.53%,87.30%,0.0291,"[0.029624223709106445, 0.9703757166862488]",0.292027389,,,
3190,1,49.55%,87.31%,0.0358,"[0.03510816767811775, 0.964891791343689]",0.279216019,,,
3191,0,49.53%,87.31%,0.0003,"[0.9996700286865234, 0.0003299327800050378]",0.265270218,,,
3192,1,49.55%,87.32%,0.0283,"[0.02887433022260666, 0.9711256623268127]",0.253421707,,,
3193,0,49.53%,87.29%,3.4202,"[0.034643277525901794, 0.965356707572937]",0.411760622,,,
3194,0,49.51%,87.26%,2.5348,"[0.08470777422189713, 0.9152922630310059]",0.517912591,,,
3195,0,49.50%,87.27%,0.0002,"[0.9998043179512024, 0.00019572566088754684]",0.492026961,,,
3196,0,49.48%,87.27%,0.0007,"[0.9993252754211426, 0.00067477161064744]",0.467460613,,,
3197,0,49.47%,87.27%,0.0004,"[0.9997195601463318, 0.00028043147176504135]",0.444107583,,,
3198,0,49.45%,87.28%,0.0004,"[0.9994367957115173, 0.0005632266402244568]",0.421922204,,,
3199,1,49.47%,87.28%,0.0682,"[0.06922463327646255, 0.9307753443717957]",0.404236093,,,
3200,1,49.48%,87.29%,0.0391,"[0.03854629024863243, 0.9614537358283997]",0.385979289,,,
3201,1,49.50%,87.29%,0.0422,"[0.03909528627991676, 0.9609047174453735]",0.368790324,,,
3202,0,49.48%,87.26%,2.7848,"[0.06413425505161285, 0.9358657002449036]",0.489590808,,,
3203,1,49.50%,87.27%,0.0679,"[0.06408024579286575, 0.9359198212623596]",0.468506268,,,
3204,0,49.49%,87.27%,0.0002,"[0.9998561143875122, 0.00014382363588083535]",0.445090954,,,
3205,0,49.47%,87.27%,0.0001,"[0.9998661279678345, 0.0001338625734206289]",0.422841407,,,
3206,0,49.45%,87.28%,0.0056,"[0.6249111890792847, 0.3750888407230377]",0.401979336,,,
3207,1,49.47%,87.28%,0.0697,"[0.06439826637506485, 0.9356017112731934]",0.385365369,,,
3208,1,49.49%,87.29%,0.0958,"[0.08260191231966019, 0.9173980355262756]",0.370887101,,,
3209,0,49.47%,87.29%,0.0002,"[0.9998260140419006, 0.00017405871767550707]",0.352352746,,,
3210,1,49.49%,87.29%,0.0775,"[0.06111392751336098, 0.9388860464096069]",0.338610109,,,
3211,1,49.50%,87.30%,0.087,"[0.07583503425121307, 0.924164891242981]",0.326029603,,,
3212,0,49.49%,87.30%,0.0002,"[0.9998464584350586, 0.00015351305773947388]",0.309738123,,,
3213,1,49.50%,87.31%,0.1451,"[0.15569008886814117, 0.8443098664283752]",0.301506217,,,
3214,1,49.52%,87.31%,0.0756,"[0.07635438442230225, 0.9236456751823425]",0.290210906,,,
3215,0,49.50%,87.31%,0.0001,"[0.9998764991760254, 0.00012352854537311941]",0.275705361,,,
3216,0,49.49%,87.29%,1.2978,"[0.2673381567001343, 0.7326619029045105]",0.326810093,,,
3217,0,49.47%,87.29%,0.4938,"[0.8546504378318787, 0.14534953236579895]",0.335159588,,,
3218,0,49.46%,87.29%,0.0002,"[0.9997712969779968, 0.00022873359557706863]",0.318411609,,,
