round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,,1
2249,1,48.98%,86.22%,0.0257,"[0.043828900903463364, 0.9561711549758911]",0.0257,
2250,0,48.96%,86.23%,0.1214,"[0.5459795594215393, 0.4540204107761383]",0.1214,
2251,0,48.93%,86.23%,0.0003,"[0.9996988773345947, 0.00030115796835161746]",0.0003,
2252,0,48.91%,86.24%,0.0004,"[0.9997585415840149, 0.00024145969655364752]",0.0004,
2253,0,48.89%,86.25%,0.0002,"[0.9997403025627136, 0.0002597098355181515]",0.0002,
2254,1,48.91%,86.25%,0.053,"[0.0453157015144825, 0.954684317111969]",0.053,
2255,1,48.94%,86.26%,0.0422,"[0.03340565413236618, 0.9665942788124084]",0.0422,
2256,0,48.91%,86.26%,0.0004,"[0.9996659755706787, 0.0003340772818773985]",0.0004,
2257,0,48.89%,86.27%,0.0008,"[0.9991744160652161, 0.0008256019791588187]",0.0008,
2258,0,48.87%,86.28%,0.0007,"[0.9994655251502991, 0.0005345037789084017]",0.0007,
2259,0,48.85%,86.24%,3.2043,"[0.04104841873049736, 0.9589515328407288]",3.2043,
2260,1,48.87%,86.25%,0.0301,"[0.028317676857113838, 0.9716823101043701]",0.0301,
2261,1,48.89%,86.25%,0.2453,"[0.26189813017845154, 0.7381018400192261]",0.2453,
2262,1,48.92%,86.26%,0.0308,"[0.029596863314509392, 0.9704031348228455]",0.0308,
2263,0,48.90%,86.26%,0.0003,"[0.999505877494812, 0.0004940639482811093]",0.0003,
2264,1,48.92%,86.27%,0.0403,"[0.04010966420173645, 0.9598903059959412]",0.0403,
2265,0,48.90%,86.28%,0.0002,"[0.9997311234474182, 0.0002688603999558836]",0.0002,
2266,0,48.88%,86.28%,0.0004,"[0.9996227025985718, 0.00037730560870841146]",0.0004,
2267,0,48.85%,86.24%,3.1111,"[0.045466210693120956, 0.9545337557792664]",3.1111,
2268,0,48.83%,86.25%,0.0004,"[0.9996634721755981, 0.0003365585580468178]",0.0004,
2269,1,48.85%,86.26%,1.8987,"[0.29224830865859985, 0.7077516913414001]",1.8987,
2270,0,48.83%,86.22%,3.1192,"[0.04358045384287834, 0.9564195871353149]",3.1192,
2271,1,48.86%,86.22%,0.0393,"[0.031122051179409027, 0.968877911567688]",0.0393,
2272,0,48.83%,86.23%,0.0007,"[0.9977008700370789, 0.0022991837467998266]",0.0007,
2273,0,48.81%,86.19%,2.7977,"[0.07446406781673431, 0.9255359172821045]",2.7977,
2274,1,48.84%,86.20%,0.0591,"[0.054950907826423645, 0.9450490474700928]",0.0591,
2275,0,48.81%,86.20%,0.0006,"[0.9993475079536438, 0.0006524522905237973]",0.0006,
2276,0,48.79%,86.21%,0.0005,"[0.9996155500411987, 0.00038442379445768893]",0.0005,
2277,1,48.81%,86.22%,0.0746,"[0.08011620491743088, 0.9198837876319885]",0.0746,
2278,1,48.84%,86.22%,0.1084,"[0.08674797415733337, 0.913252055644989]",0.1084,
2279,1,48.86%,86.23%,0.0648,"[0.07608648389577866, 0.9239134788513184]",0.0648,
2280,1,48.88%,86.23%,0.065,"[0.07835846394300461, 0.9216415286064148]",0.065,
2281,1,48.90%,86.24%,0.1063,"[0.09245014190673828, 0.9075499176979065]",0.1063,
2282,1,48.93%,86.25%,0.0652,"[0.07725600898265839, 0.9227439165115356]",0.0652,
2283,0,48.91%,86.25%,0.0002,"[0.9996911287307739, 0.0003088809025939554]",0.0002,
2284,0,48.88%,86.26%,0.0004,"[0.9995914101600647, 0.00040857153362594545]",0.0004,
2285,1,48.91%,86.26%,0.0892,"[0.0872257649898529, 0.9127742648124695]",0.0892,
2286,1,48.93%,86.27%,0.0783,"[0.07652094215154648, 0.9234790802001953]",0.0783,
2287,0,48.91%,86.23%,2.574,"[0.07481423020362854, 0.9251857995986938]",2.574,
2288,1,48.93%,86.24%,0.1006,"[0.07854033261537552, 0.9214597344398499]",0.1006,
2289,0,48.91%,86.20%,0.6535,"[0.3711809515953064, 0.6288190484046936]",0.6535,
2290,0,48.89%,86.21%,0.0168,"[0.9919174313545227, 0.00808252114802599]",0.0168,
2291,1,48.91%,86.21%,0.0731,"[0.08341113477945328, 0.9165889024734497]",0.0731,
2292,1,48.93%,86.22%,0.0533,"[0.04645875096321106, 0.9535412788391113]",0.0533,
2293,0,48.91%,86.22%,0.0004,"[0.9997286200523376, 0.00027132604736834764]",0.0004,
2294,0,48.89%,86.23%,0.0002,"[0.9997723698616028, 0.00022768875351175666]",0.0002,
2295,1,48.91%,86.24%,0.0874,"[0.09842395037412643, 0.901576042175293]",0.0874,
2296,1,48.93%,86.24%,0.0887,"[0.09225661307573318, 0.9077433347702026]",0.0887,
2297,1,48.96%,86.25%,0.0674,"[0.07857509702444077, 0.9214248657226562]",0.0674,
2298,0,48.93%,86.25%,0.0007,"[0.9995130300521851, 0.0004869344411417842]",0.0007,
2299,1,48.96%,86.26%,0.0705,"[0.06665199249982834, 0.9333480000495911]",0.0705,
2300,1,48.98%,86.27%,0.0852,"[0.08762720972299576, 0.9123727679252625]",0.0852,
2301,0,48.96%,86.27%,0.0003,"[0.9995378255844116, 0.00046224016114138067]",0.0003,
2302,0,48.94%,86.28%,0.0002,"[0.9997773766517639, 0.00022259583056438714]",0.0002,
2303,0,48.91%,86.28%,0.0002,"[0.9996964931488037, 0.0003035551344510168]",0.0002,
2304,1,48.94%,86.29%,0.0351,"[0.03533722460269928, 0.9646627306938171]",0.0351,
2305,0,48.92%,86.30%,0.0002,"[0.9997819066047668, 0.00021805567666888237]",0.0002,
2306,0,48.89%,86.30%,0.0009,"[0.9993759989738464, 0.0006240032380446792]",0.0009,
2307,0,48.87%,86.31%,0.0004,"[0.9995569586753845, 0.0004429953987710178]",0.0004,
2308,1,48.90%,86.31%,0.252,"[0.10020862519741058, 0.8997913599014282]",0.252,
2309,0,48.87%,86.32%,0.0006,"[0.99831223487854, 0.0016877634916454554]",0.0006,
2310,1,48.90%,86.33%,0.0687,"[0.06603509187698364, 0.9339649677276611]",0.0687,
2311,1,48.92%,86.33%,0.0589,"[0.06070714443922043, 0.9392927885055542]",0.0589,
2312,1,48.94%,86.34%,0.0709,"[0.06913130730390549, 0.9308686852455139]",0.0709,
2313,0,48.92%,86.34%,0.0004,"[0.9994300007820129, 0.0005700227920897305]",0.0004,
2314,0,48.90%,86.35%,0.0014,"[0.9991636276245117, 0.000836401479318738]",0.0014,
2315,1,48.92%,86.36%,0.0373,"[0.036931123584508896, 0.9630688428878784]",0.0373,
2316,1,48.94%,86.36%,0.0752,"[0.04807264357805252, 0.9519274234771729]",0.0752,
2317,1,48.96%,86.37%,0.057,"[0.0644771009683609, 0.9355228543281555]",0.057,
2318,1,48.99%,86.37%,0.0397,"[0.047474779188632965, 0.95252525806427]",0.0397,
2319,0,48.97%,86.38%,0.0007,"[0.9990481734275818, 0.0009518375154584646]",0.0007,
2320,0,48.94%,86.39%,0.0002,"[0.9997878670692444, 0.000212159488000907]",0.0002,
2321,0,48.92%,86.39%,0.0005,"[0.9996376037597656, 0.00036236821324564517]",0.0005,
2322,0,48.90%,86.35%,2.2169,"[0.0942007303237915, 0.9057992696762085]",2.2169,
2323,1,48.92%,86.36%,0.0377,"[0.0344996452331543, 0.9655003547668457]",0.0377,
2324,0,48.90%,86.37%,0.0009,"[0.999482274055481, 0.0005177218117751181]",0.0009,
2325,0,48.88%,86.37%,0.0003,"[0.9997425675392151, 0.0002574414829723537]",0.0003,
2326,0,48.86%,86.38%,0.0003,"[0.9995566010475159, 0.0004433458379935473]",0.0003,
2327,0,48.84%,86.38%,0.0027,"[0.9985912442207336, 0.0014087503077462316]",0.0027,
2328,1,48.86%,86.39%,0.0397,"[0.041059356182813644, 0.9589406847953796]",0.0397,
2329,1,48.88%,86.39%,0.0309,"[0.029073746874928474, 0.9709262847900391]",0.0309,
2330,0,48.86%,86.40%,0.0031,"[0.9966328740119934, 0.003367161611095071]",0.0031,
2331,0,48.84%,86.36%,2.0725,"[0.3900568187236786, 0.6099432706832886]",2.0725,
2332,1,48.86%,86.37%,0.0217,"[0.0222235769033432, 0.9777764081954956]",0.0217,
2333,1,48.89%,86.38%,0.0771,"[0.047027140855789185, 0.9529728293418884]",0.0771,
2334,1,48.91%,86.38%,0.033,"[0.032050564885139465, 0.9679494500160217]",0.033,
2335,0,48.89%,86.39%,0.0006,"[0.9995589852333069, 0.00044100332888774574]",0.0006,
2336,1,48.91%,86.39%,0.0336,"[0.03033977374434471, 0.969660222530365]",0.0336,
2337,0,48.89%,86.40%,1.406,"[0.6054142713546753, 0.3945857286453247]",1.406,
2338,0,48.87%,86.40%,0.0012,"[0.9988879561424255, 0.0011120039271190763]",0.0012,
2339,0,48.85%,86.41%,0.0006,"[0.9995802044868469, 0.00041979592060670257]",0.0006,
2340,1,48.87%,86.42%,0.0371,"[0.030510161072015762, 0.9694898724555969]",0.0371,
2341,1,48.89%,86.42%,0.0486,"[0.045600779354572296, 0.9543992280960083]",0.0486,
2342,0,48.87%,86.43%,0.0003,"[0.9996187686920166, 0.00038125450373627245]",0.0003,
2343,0,48.85%,86.43%,0.0003,"[0.9996947050094604, 0.00030537546263076365]",0.0003,
2344,0,48.83%,86.44%,0.0003,"[0.9997523427009583, 0.00024765636771917343]",0.0003,
2345,1,48.85%,86.45%,0.0216,"[0.027732765302062035, 0.9722672700881958]",0.0216,
2346,0,48.83%,86.45%,0.0004,"[0.9989627599716187, 0.0010372051037847996]",0.0004,
2347,1,48.85%,86.46%,0.0266,"[0.025114677846431732, 0.9748852849006653]",0.0266,
2348,1,48.87%,86.46%,0.0241,"[0.022742191329598427, 0.9772577881813049]",0.0241,
2349,0,48.85%,86.47%,0.0002,"[0.9998096823692322, 0.0001903441734611988]",0.0002,
2350,0,48.83%,86.47%,0.0008,"[0.9996763467788696, 0.0003236261836718768]",0.0008,
2351,1,48.85%,86.48%,0.0363,"[0.02873341366648674, 0.9712665677070618]",0.0363,
2352,0,48.83%,86.49%,0.0002,"[0.9997062087059021, 0.00029379071202129126]",0.0002,
2353,0,48.81%,86.45%,1.8422,"[0.18877705931663513, 0.8112229108810425]",1.8422,
2354,1,48.83%,86.45%,0.0877,"[0.08087396621704102, 0.919126033782959]",0.0877,
2355,0,48.81%,86.42%,3.1257,"[0.04874558001756668, 0.9512544870376587]",3.1257,
2356,1,48.83%,86.42%,0.088,"[0.09900415688753128, 0.9009957909584045]",0.088,
2357,0,48.81%,86.43%,0.0002,"[0.999790608882904, 0.00020941253751516342]",0.0002,
2358,1,48.83%,86.43%,0.0402,"[0.031568922102451324, 0.9684310555458069]",0.0402,
2359,1,48.86%,86.44%,0.0665,"[0.06187008321285248, 0.9381299614906311]",0.0665,
2360,0,48.84%,86.45%,0.0003,"[0.999761164188385, 0.0002388692373642698]",0.0003,
2361,0,48.81%,86.45%,0.0002,"[0.9998213648796082, 0.00017862129607237875]",0.0002,
2362,1,48.84%,86.46%,0.034,"[0.03243448957800865, 0.9675654768943787]",0.034,
2363,1,48.86%,86.46%,0.0731,"[0.07233821600675583, 0.9276617765426636]",0.0731,
2364,1,48.88%,86.47%,0.0889,"[0.10998797416687012, 0.8900120258331299]",0.0889,
2365,0,48.86%,86.43%,2.1583,"[0.09749456495046616, 0.9025053977966309]",2.1583,
2366,1,48.88%,86.44%,0.0427,"[0.03220582753419876, 0.9677942395210266]",0.0427,
2367,1,48.90%,86.44%,0.0876,"[0.08537120372056961, 0.9146288633346558]",0.0876,
2368,1,48.92%,86.45%,0.1442,"[0.11149299144744873, 0.8885070085525513]",0.1442,
2369,0,48.90%,86.46%,0.0003,"[0.9996473789215088, 0.00035261755692772567]",0.0003,
2370,0,48.88%,86.42%,2.624,"[0.09681826829910278, 0.9031816720962524]",2.624,
2371,1,48.90%,86.42%,0.1602,"[0.17132265865802765, 0.8286773562431335]",0.1602,
2372,0,48.88%,86.43%,0.0003,"[0.9997386336326599, 0.0002613143587950617]",0.0003,
2373,0,48.86%,86.44%,0.1474,"[0.7228779196739197, 0.2771220803260803]",0.1474,
2374,0,48.84%,86.44%,0.0004,"[0.9996693134307861, 0.0003307065344415605]",0.0004,
2375,0,48.82%,86.45%,0.0003,"[0.9996145963668823, 0.0003853181260637939]",0.0003,
2376,0,48.80%,86.45%,0.0002,"[0.9998181462287903, 0.00018189719412475824]",0.0002,
2377,1,48.82%,86.46%,0.0524,"[0.030639398843050003, 0.9693605899810791]",0.0524,
2378,1,48.84%,86.46%,0.3883,"[0.3035053014755249, 0.6964946389198303]",0.3883,
2379,1,48.87%,86.47%,0.0349,"[0.04956753924489021, 0.9504324197769165]",0.0349,
2380,1,48.89%,86.48%,0.0647,"[0.08612221479415894, 0.9138777256011963]",0.0647,
2381,1,48.91%,86.48%,0.0329,"[0.08097599446773529, 0.9190239310264587]",0.0329,
2382,1,48.93%,86.49%,0.0927,"[0.08345572650432587, 0.9165442585945129]",0.0927,
2383,1,48.95%,86.49%,0.0694,"[0.0619821697473526, 0.9380178451538086]",0.0694,
2384,1,48.97%,86.50%,0.0703,"[0.06324436515569687, 0.9367555975914001]",0.0703,
2385,0,48.95%,86.46%,1.4967,"[0.2902149558067322, 0.7097850441932678]",1.4967,
2386,0,48.93%,86.43%,2.6368,"[0.055603865534067154, 0.9443961381912231]",2.6368,
2387,1,48.95%,86.43%,0.0625,"[0.07145601511001587, 0.9285439252853394]",0.0625,
2388,1,48.97%,86.44%,0.0463,"[0.036699116230010986, 0.963300883769989]",0.0463,
2389,0,48.95%,86.44%,0.0002,"[0.9998112320899963, 0.00018879333219956607]",0.0002,
2390,0,48.93%,86.45%,0.0003,"[0.9996974468231201, 0.00030257852631621063]",0.0003,
2391,0,48.91%,86.45%,0.0004,"[0.9995672106742859, 0.0004328179347794503]",0.0004,
2392,1,48.93%,86.46%,0.0466,"[0.026018289849162102, 0.9739816784858704]",0.0466,
2393,0,48.91%,86.42%,2.0839,"[0.11907333880662918, 0.8809266090393066]",2.0839,
2394,0,48.89%,86.43%,0.0004,"[0.9997984766960144, 0.00020159996347501874]",0.0004,
2395,1,48.91%,86.44%,0.5607,"[0.4078249931335449, 0.5921749472618103]",0.5607,
2396,0,48.89%,86.44%,0.7334,"[0.6168736219406128, 0.38312631845474243]",0.7334,
2397,1,48.92%,86.45%,0.0579,"[0.04991115257143974, 0.9500888586044312]",0.0579,
2398,1,48.94%,86.45%,0.0903,"[0.05463680997490883, 0.9453631639480591]",0.0903,
2399,0,48.92%,86.46%,0.0002,"[0.9997645020484924, 0.00023554780636914074]",0.0002,
2400,1,48.94%,86.42%,1.3274,"[0.6084258556365967, 0.3915742039680481]",1.3274,
2401,1,48.96%,86.43%,0.0382,"[0.052254337817430496, 0.947745680809021]",0.0382,
2402,0,48.94%,86.43%,0.0016,"[0.9980918765068054, 0.0019081570208072662]",0.0016,
2403,0,48.92%,86.44%,0.0003,"[0.9997217059135437, 0.0002782953670248389]",0.0003,
2404,1,48.94%,86.44%,0.2965,"[0.3506461977958679, 0.6493538618087769]",0.2965,
2405,0,48.92%,86.45%,0.0009,"[0.999411940574646, 0.0005880292737856507]",0.0009,
2406,0,48.90%,86.46%,0.0003,"[0.9997031092643738, 0.00029690019437111914]",0.0003,
2407,1,48.92%,86.46%,0.0681,"[0.06266465038061142, 0.9373353719711304]",0.0681,
2408,1,48.94%,86.47%,0.0344,"[0.03534528985619545, 0.9646546840667725]",0.0344,
2409,0,48.92%,86.47%,0.0008,"[0.9984355568885803, 0.001564481295645237]",0.0008,
2410,0,48.90%,86.48%,0.0002,"[0.9997661709785461, 0.00023379026970360428]",0.0002,
2411,1,48.92%,86.48%,0.0721,"[0.07512006163597107, 0.9248799085617065]",0.0721,
2412,1,48.94%,86.49%,0.0257,"[0.03178311139345169, 0.9682168960571289]",0.0257,
2413,0,48.92%,86.45%,3.0573,"[0.055565137416124344, 0.9444348216056824]",3.0573,
2414,1,48.94%,86.46%,0.0436,"[0.038784682750701904, 0.9612153172492981]",0.0436,
2415,1,48.97%,86.47%,0.0235,"[0.03092724084854126, 0.9690727591514587]",0.0235,
2416,0,48.94%,86.47%,0.0003,"[0.9996811151504517, 0.0003188824048265815]",0.0003,
2417,0,48.92%,86.48%,0.0003,"[0.9997230172157288, 0.0002769657876342535]",0.0003,
2418,0,48.90%,86.44%,2.8171,"[0.04918880760669708, 0.9508112072944641]",2.8171,
2419,0,48.88%,86.45%,0.0061,"[0.9988442659378052, 0.0011557003017514944]",0.0061,
2420,0,48.86%,86.45%,0.001,"[0.9991558790206909, 0.0008441596291959286]",0.001,
2421,1,48.89%,86.46%,0.1255,"[0.08665774762630463, 0.9133422374725342]",0.1255,
2422,1,48.91%,86.46%,0.1741,"[0.09162863343954086, 0.9083713889122009]",0.1741,
2423,0,48.89%,86.47%,0.0034,"[0.9967659711837769, 0.003233998315408826]",0.0034,
2424,0,48.87%,86.47%,0.0004,"[0.9991338849067688, 0.0008661179454065859]",0.0004,
2425,1,48.89%,86.48%,0.0762,"[0.0888633131980896, 0.9111367464065552]",0.0762,
2426,1,48.91%,86.49%,0.0616,"[0.05821854993700981, 0.9417815208435059]",0.0616,
2427,1,48.93%,86.49%,0.0559,"[0.04366343840956688, 0.9563366174697876]",0.0559,
2428,0,48.91%,86.46%,1.3982,"[0.22980111837387085, 0.7701988816261292]",1.3982,
2429,0,48.89%,86.42%,2.8716,"[0.0598161444067955, 0.9401838779449463]",2.8716,
2430,1,48.91%,86.43%,0.0639,"[0.0602598711848259, 0.9397401213645935]",0.0639,
2431,1,48.93%,86.43%,0.0744,"[0.07128952443599701, 0.9287104606628418]",0.0744,
2432,1,48.95%,86.44%,0.0819,"[0.07255378365516663, 0.927446186542511]",0.0819,
2433,1,48.97%,86.44%,0.0732,"[0.08849850296974182, 0.9115014672279358]",0.0732,
2434,1,48.99%,86.45%,0.0627,"[0.056237056851387024, 0.9437629580497742]",0.0627,
2435,0,48.97%,86.45%,0.0003,"[0.999750554561615, 0.00024945312179625034]",0.0003,
2436,0,48.95%,86.46%,0.0006,"[0.9994974136352539, 0.0005025565624237061]",0.0006,
2437,0,48.93%,86.42%,2.4601,"[0.08433257043361664, 0.9156674146652222]",2.4601,
2438,0,48.91%,86.43%,0.3444,"[0.701316237449646, 0.2986838221549988]",0.3444,
2439,0,48.89%,86.43%,0.0014,"[0.998981773853302, 0.0010181792313233018]",0.0014,
2440,1,48.91%,86.44%,0.1525,"[0.1190372034907341, 0.8809627890586853]",0.1525,
2441,0,48.89%,86.45%,0.0002,"[0.9998102784156799, 0.00018977659055963159]",0.0002,
2442,1,48.92%,86.45%,0.0815,"[0.10048141330480576, 0.8995185494422913]",0.0815,
2443,1,48.94%,86.42%,0.5785,"[0.6574656367301941, 0.3425343930721283]",0.5785,
2444,0,48.92%,86.42%,0.6882,"[0.6774469017982483, 0.3225530982017517]",0.6882,
2445,0,48.90%,86.43%,0.0003,"[0.9997065663337708, 0.00029336163424886763]",0.0003,
2446,1,48.92%,86.43%,0.2138,"[0.18860161304473877, 0.8113983869552612]",0.2138,
2447,1,48.94%,86.44%,0.0628,"[0.05554309859871864, 0.944456934928894]",0.0628,
2448,0,48.92%,86.44%,0.0004,"[0.9993189573287964, 0.0006810828926973045]",0.0004,
2449,0,48.90%,86.45%,0.0002,"[0.9998053908348083, 0.0001946065021911636]",0.0002,
2450,1,48.92%,86.45%,0.1632,"[0.14005161821842194, 0.8599483966827393]",0.1632,
2451,1,48.94%,86.46%,0.1393,"[0.11904140561819077, 0.880958616733551]",0.1393,
2452,0,48.92%,86.47%,0.0007,"[0.9990984201431274, 0.0009016155963763595]",0.0007,
2453,0,48.90%,86.47%,0.0019,"[0.9995476603507996, 0.0004523014067672193]",0.0019,
2454,1,48.92%,86.48%,0.0731,"[0.0473606251180172, 0.9526394009590149]",0.0731,
2455,1,48.94%,86.48%,0.0866,"[0.09256768226623535, 0.9074322581291199]",0.0866,
2456,0,48.92%,86.49%,0.0002,"[0.9997597336769104, 0.00024021213175728917]",0.0002,
2457,0,48.90%,86.49%,0.0003,"[0.9996737241744995, 0.0003262466052547097]",0.0003,
2458,0,48.88%,86.50%,0.0024,"[0.9987024068832397, 0.0012975184945389628]",0.0024,
2459,0,48.86%,86.50%,0.0002,"[0.9997444748878479, 0.0002555226383265108]",0.0002,
2460,1,48.88%,86.51%,0.0826,"[0.07192717492580414, 0.9280728101730347]",0.0826,
2461,1,48.90%,86.52%,0.0909,"[0.0897289291024208, 0.9102709889411926]",0.0909,
2462,1,48.92%,86.52%,0.0923,"[0.08822538703680038, 0.9117745757102966]",0.0923,
2463,1,48.94%,86.53%,0.0723,"[0.0710715502500534, 0.9289284944534302]",0.0723,
2464,0,48.92%,86.53%,0.0006,"[0.9993131160736084, 0.0006869461503811181]",0.0006,
2465,1,48.95%,86.54%,0.0513,"[0.03902604058384895, 0.9609739780426025]",0.0513,
2466,1,48.97%,86.54%,0.0536,"[0.050046637654304504, 0.9499533772468567]",0.0536,
2467,1,48.99%,86.55%,0.1662,"[0.4400630295276642, 0.5599370002746582]",0.1662,
2468,1,49.01%,86.55%,0.0202,"[0.03329816833138466, 0.9667018055915833]",0.0202,
2469,1,49.03%,86.56%,0.0339,"[0.02897840179502964, 0.9710215926170349]",0.0339,
2470,1,49.05%,86.56%,0.0497,"[0.045143842697143555, 0.9548561573028564]",0.0497,
2471,0,49.03%,86.57%,0.0003,"[0.9997676014900208, 0.00023242851602844894]",0.0003,
2472,1,49.05%,86.58%,0.0499,"[0.03814471885561943, 0.9618552327156067]",0.0499,
2473,0,49.03%,86.58%,0.0003,"[0.9996440410614014, 0.000355939962901175]",0.0003,
2474,0,49.01%,86.59%,0.0003,"[0.9995549321174622, 0.0004450168344192207]",0.0003,
2475,1,49.03%,86.59%,0.0323,"[0.0342106856405735, 0.965789258480072]",0.0323,
2476,1,49.05%,86.60%,0.0312,"[0.03086364082992077, 0.9691363573074341]",0.0312,
2477,1,49.07%,86.60%,0.0209,"[0.023359186947345734, 0.9766407608985901]",0.0209,
2478,0,49.05%,86.61%,0.0053,"[0.993728756904602, 0.006271245889365673]",0.0053,
2479,1,49.07%,86.61%,0.0213,"[0.025075575336813927, 0.9749245047569275]",0.0213,
2480,0,49.05%,86.62%,0.0007,"[0.9983189702033997, 0.001680949586443603]",0.0007,
2481,1,49.07%,86.62%,0.0238,"[0.023354120552539825, 0.9766458868980408]",0.0238,
2482,1,49.09%,86.63%,0.0296,"[0.024600069969892502, 0.975399911403656]",0.0296,
2483,0,49.07%,86.59%,3.4264,"[0.03272854536771774, 0.9672715067863464]",3.4264,
2484,0,49.05%,86.56%,3.6389,"[0.026658829301595688, 0.9733412265777588]",3.6389,
2485,1,49.07%,86.56%,0.025,"[0.02754410170018673, 0.9724559187889099]",0.025,
2486,1,49.10%,86.57%,0.0301,"[0.030501022934913635, 0.9694989323616028]",0.0301,
2487,0,49.08%,86.54%,3.6269,"[0.02584567479789257, 0.9741543531417847]",3.6269,
2488,1,49.10%,86.54%,0.0266,"[0.02828439511358738, 0.9717156291007996]",0.0266,
2489,0,49.08%,86.55%,0.0008,"[0.9996746778488159, 0.0003253300383221358]",0.0008,
2490,1,49.10%,86.55%,0.034,"[0.026883196085691452, 0.9731167554855347]",0.034,
2491,1,49.12%,86.56%,0.0388,"[0.02479461394250393, 0.9752053022384644]",0.0388,
2492,1,49.14%,86.56%,0.0323,"[0.026177527382969856, 0.9738224744796753]",0.0323,
2493,0,49.12%,86.57%,0.0123,"[0.9988333582878113, 0.0011666094651445746]",0.0123,
2494,1,49.14%,86.57%,0.0451,"[0.04484968259930611, 0.9551503658294678]",0.0451,
2495,0,49.12%,86.58%,0.0004,"[0.9996552467346191, 0.0003448035567998886]",0.0004,
2496,1,49.14%,86.58%,0.0619,"[0.056309960782527924, 0.9436900615692139]",0.0619,
2497,0,49.12%,86.59%,0.0005,"[0.9995256662368774, 0.00047429624828509986]",0.0005,
2498,0,49.10%,86.55%,2.9188,"[0.05126244202256203, 0.9487375020980835]",2.9188,
2499,1,49.12%,86.56%,0.054,"[0.0475444495677948, 0.9524555206298828]",0.054,
2500,0,49.10%,86.57%,0.0009,"[0.9992825388908386, 0.0007175413775257766]",0.0009,
2501,0,49.08%,86.57%,0.0003,"[0.9996299743652344, 0.00037001195596531034]",0.0003,
2502,0,49.06%,86.58%,0.0696,"[0.5306926369667053, 0.4693072736263275]",0.0696,
2503,0,49.04%,86.58%,0.0043,"[0.9985300302505493, 0.0014698982704430819]",0.0043,
2504,1,49.06%,86.59%,0.0507,"[0.04863796755671501, 0.9513620138168335]",0.0507,
2505,1,49.08%,86.59%,0.0576,"[0.044200439006090164, 0.9557995200157166]",0.0576,
2506,0,49.06%,86.60%,0.0003,"[0.9997614026069641, 0.00023857604537624866]",0.0003,
2507,1,49.08%,86.60%,0.0567,"[0.06412288546562195, 0.9358770847320557]",0.0567,
2508,0,49.06%,86.61%,0.0003,"[0.999546229839325, 0.00045378206414170563]",0.0003,
2509,1,49.08%,86.61%,0.0825,"[0.0805281549692154, 0.919471800327301]",0.0825,
2510,0,49.06%,86.62%,0.0002,"[0.9997351765632629, 0.000264805305050686]",0.0002,
2511,0,49.04%,86.62%,0.2309,"[0.5231865644454956, 0.476813405752182]",0.2309,
2512,0,49.03%,86.59%,2.4789,"[0.08267792314291, 0.9173220992088318]",2.4789,
2513,1,49.05%,86.60%,0.0931,"[0.09147966653108597, 0.9085203409194946]",0.0931,
2514,1,49.07%,86.60%,0.0626,"[0.0581573061645031, 0.9418427348136902]",0.0626,
2515,0,49.05%,86.61%,0.0002,"[0.999555766582489, 0.0004441649653017521]",0.0002,
2516,1,49.07%,86.61%,0.1055,"[0.10239341109991074, 0.8976066708564758]",0.1055,
2517,0,49.05%,86.62%,0.0002,"[0.9998062252998352, 0.0001937380147865042]",0.0002,
2518,1,49.07%,86.62%,0.0957,"[0.09103386104106903, 0.908966064453125]",0.0957,
2519,0,49.05%,86.63%,0.0002,"[0.9997925162315369, 0.00020745419897139072]",0.0002,
2520,1,49.07%,86.63%,0.0594,"[0.03662903234362602, 0.9633710384368896]",0.0594,
2521,1,49.09%,86.64%,0.2339,"[0.13459044694900513, 0.8654095530509949]",0.2339,
2522,1,49.11%,86.64%,0.0982,"[0.09037620574235916, 0.9096238017082214]",0.0982,
2523,0,49.09%,86.61%,1.8479,"[0.14738678932189941, 0.8526132106781006]",1.8479,
2524,0,49.07%,86.61%,0.0001,"[0.9998642206192017, 0.0001357168221147731]",0.0001,
2525,1,49.09%,86.62%,0.0665,"[0.06520862132310867, 0.9347913265228271]",0.0665,
2526,1,49.11%,86.62%,0.0565,"[0.054931771010160446, 0.9450682401657104]",0.0565,
2527,1,49.13%,86.63%,0.168,"[0.16517473757266998, 0.8348252773284912]",0.168,
2528,0,49.11%,86.64%,0.0005,"[0.9996815919876099, 0.0003184622328262776]",0.0005,
2529,1,49.13%,86.64%,0.1124,"[0.0976426973938942, 0.9023573398590088]",0.1124,
2530,0,49.11%,86.65%,0.0004,"[0.9996999502182007, 0.000300101499306038]",0.0004,
2531,0,49.09%,86.65%,0.0001,"[0.9998562335968018, 0.0001437890896340832]",0.0001,
2532,0,49.07%,86.66%,0.0014,"[0.9988507032394409, 0.0011492572957649827]",0.0014,
2533,0,49.05%,86.66%,0.0003,"[0.999762237071991, 0.00023776809393893927]",0.0003,
2534,1,49.07%,86.67%,0.0943,"[0.07090688496828079, 0.9290931224822998]",0.0943,
2535,0,49.05%,86.67%,0.0005,"[0.99935382604599, 0.0006461934535764158]",0.0005,
2536,1,49.07%,86.68%,0.0693,"[0.07357145845890045, 0.9264286160469055]",0.0693,
2537,1,49.09%,86.68%,0.0717,"[0.07304757088422775, 0.9269524216651917]",0.0717,
2538,1,49.11%,86.69%,0.054,"[0.07257029414176941, 0.9274296760559082]",0.054,
